CD_RootImage,BotSum,HumanSum
3 1 D3 51.jpg,54,62.0
3 6 D5 42.jpg,40,63.0
2 27 C4 15.jpg,59,58.0
3 8 C4 16.jpg,35,42.0
3 1 D4 40.jpg,71,73.0
2 23 D3 23.jpg,10,13.0
3 6 C5 48.jpg,66,75.0
3 2 D5 3.jpg,1,0.0
3 10 D5 38.jpg,16,35.0
3 3 D4 16.jpg,78,71.0
2 27 C4 18.jpg,75,73.0
2 27 D2 57.jpg,32,30.0
2 25 C2 27.jpg,59,63.0
2 26 C1 7.jpg,19,37.0
3 4 C1 2.jpg,31,36.0
3 7 D3 1.jpg,4,3.0
3 5 D2 46.jpg,45,49.0
3 4 C1 38.jpg,68,48.0
2 28 C1 32.jpg,69,70.0
3 6 D5 37.jpg,60,65.0
3 2 C1 19.jpg,39,68.0
3 10 D5 56.jpg,50,56.0
2 22 C1 60.jpg,10,30.0
3 6 C2 56.jpg,43,55.0
3 4 C3 48.jpg,64,58.0
3 2 C3 28.jpg,49,57.0
2 28 D4 53.jpg,62,59.0
2 26 D4 4.jpg,34,38.0
2 24 C2 40.jpg,48,68.0
2 24 D2 32.jpg,75,68.0
2 28 C2 38.jpg,29,37.0
3 1 C2 39.jpg,46,63.0
3 7 D2 26.jpg,36,38.0
3 6 D3 1.jpg,14,36.0
3 1 C4 17.jpg,70,76.0
2 22 D1 25.jpg,15,44.0
3 3 C1 12.jpg,25,62.0
2 28 C2 35.jpg,89,82.0
3 9 D5 19.jpg,1,4.0
2 23 C2 12.jpg,39,70.0
3 6 D4 59.jpg,2,0.0
3 5 C2 35.jpg,46,63.0
3 3 D4 10.jpg,113,96.0
2 26 D1 4.jpg,37,37.0
3 6 C2 47.jpg,6,17.0
3 6 C4 48.jpg,5,6.0
3 6 D1 54.jpg,80,63.0
3 4 D1 17.jpg,6,0.0
3 6 C4 30.jpg,9,7.0
2 28 C3 7.jpg,51,53.0
3 7 D3 42.jpg,54,46.0
3 8 C4 30.jpg,2,1.0
3 1 C3 31.jpg,4,5.0
3 7 C2 24.jpg,47,55.0
3 1 C2 9.jpg,74,83.0
3 2 D4 29.jpg,28,39.0
2 24 C4 25.jpg,18,26.0
3 3 D1 24.jpg,43,54.0
2 28 C2 47.jpg,44,71.0
3 5 D1 20.jpg,22,22.0
2 22 C1 43.jpg,29,42.0
2 24 D4 3.jpg,13,14.0
3 6 D4 26.jpg,62,64.0
3 10 D5 4.jpg,49,61.0
3 1 C1 2.jpg,72,56.0
2 28 C3 44.jpg,78,76.0
3 1 D2 46.jpg,32,54.0
3 4 D3 58.jpg,7,0.0
2 28 D2 8.jpg,54,79.0
3 4 C4 1.jpg,90,69.0
2 24 D3 4.jpg,54,59.0
2 28 D3 19.jpg,85,66.0
2 22 D1 2.jpg,37,61.0
3 6 D4 23.jpg,67,60.0
2 24 D1 13.jpg,77,63.0
2 22 D1 17.jpg,10,30.0
3 1 C4 32.jpg,50,60.0
3 8 D4 17.jpg,61,62.0
2 28 C1 35.jpg,20,32.0
3 1 D1 35.jpg,23,39.0
3 3 D5 1.jpg,46,42.0
2 25 D4 37.jpg,12,27.0
3 1 D3 54.jpg,14,35.0
3 2 C4 49.jpg,61,63.0
3 8 C4 37.jpg,65,59.0
3 2 C2 11.jpg,0,2.0
3 5 C5 5.jpg,60,72.0
3 4 D1 59.jpg,28,35.0
3 3 C4 1.jpg,29,83.0
