ImageName,Count
2 21 C1 1,12.0
2 21 C1 2,11.0
2 21 C1 3,26.0
2 21 C1 4,10.0
2 21 C1 5,19.0
2 21 C1 6,32.0
2 21 C1 7,22.0
2 21 C1 8,11.0
2 21 C1 9,18.0
2 21 C1 10,28.0
2 21 C1 11,24.0
2 21 C1 12,8.0
2 21 C1 13,25.0
2 21 C1 14,14.0
2 21 C1 15,19.0
2 21 C1 16,8.0
2 21 C1 17,32.0
2 21 C1 18,16.0
2 21 C1 19,17.0
2 21 C1 20,11.0
2 21 C1 21,14.0
2 21 C1 22,20.0
2 21 C1 23,16.0
2 21 C1 24,25.0
2 21 C1 25,17.0
2 21 C1 26,24.0
2 21 C1 27,21.0
2 21 C1 28,22.0
2 21 C1 29,12.0
2 21 C1 30,17.0
2 21 C1 31,21.0
2 21 C1 32,16.0
2 21 C1 33,10.0
2 21 C1 34,25.0
2 21 C1 35,8.0
2 21 C1 36,9.0
2 21 C1 37,16.0
2 21 C1 38,38.0
2 21 C1 39,12.0
2 21 C1 40,16.0
2 21 C1 41,23.0
2 21 C1 42,20.0
2 21 C1 43,19.0
2 21 C1 44,21.0
2 21 C1 45,27.0
2 21 C1 46,23.0
2 21 C1 47,12.0
2 21 C1 48,26.0
2 21 C1 49,19.0
2 21 C1 50,10.0
2 21 C1 51,7.0
2 21 C1 52,20.0
2 21 C1 53,25.0
2 21 C1 54,12.0
2 21 C1 55,21.0
2 21 C1 56,9.0
2 21 C1 57,24.0
2 21 C1 58,10.0
2 21 C1 59,27.0
2 21 C1 60,23.0
2 22 C2 1,11.0
2 22 C2 2,30.0
2 22 C2 3,14.0
2 22 C2 4,18.0
2 22 C2 5,7.0
2 22 C2 6,10.0
2 22 C2 7,13.0
2 22 C2 8,25.0
2 22 C2 9,6.0
2 22 C2 10,6.0
2 22 C2 11,11.0
2 22 C2 12,14.0
2 22 C2 13,25.0
2 22 C2 14,15.0
2 22 C2 15,9.0
2 22 C2 16,12.0
2 22 C2 17,31.0
2 22 C2 18,10.0
2 22 C2 19,13.0
2 22 C2 20,12.0
2 22 C2 21,13.0
2 22 C2 22,14.0
2 22 C2 23,9.0
2 22 C2 24,16.0
2 22 C2 25,20.0
2 22 C2 26,7.0
2 22 C2 27,11.0
2 22 C2 28,16.0
2 22 C2 29,11.0
2 22 C2 30,16.0
2 22 C2 31,15.0
2 22 C2 32,7.0
2 22 C2 33,14.0
2 22 C2 34,15.0
2 22 C2 35,19.0
2 22 C2 36,23.0
2 22 C2 37,3.0
2 22 C2 38,6.0
2 22 C2 39,13.0
2 22 C2 40,12.0
2 22 C2 41,9.0
2 22 C2 42,11.0
2 22 C2 43,7.0
2 22 C2 44,13.0
2 22 C2 45,31.0
2 22 C2 46,11.0
2 22 C2 47,12.0
2 22 C2 48,16.0
2 22 C2 49,15.0
2 22 C2 50,9.0
2 22 C2 51,11.0
2 22 C2 52,9.0
2 22 C2 53,9.0
2 22 C2 54,7.0
2 22 C2 55,10.0
2 22 C2 56,24.0
2 22 C2 57,51.0
2 22 C2 58,8.0
2 22 C2 59,8.0
2 22 C2 60,15.0
2 23 C3 1,33.0
2 23 C3 2,28.0
2 23 C3 3,58.0
2 23 C3 4,11.0
2 23 C3 5,56.0
2 23 C3 6,20.0
2 23 C3 7,7.0
2 23 C3 8,13.0
2 23 C3 9,4.0
2 23 C3 10,7.0
2 23 C3 11,23.0
2 23 C3 12,7.0
2 23 C3 13,30.0
2 23 C3 14,15.0
2 23 C3 15,14.0
2 23 C3 16,53.0
2 23 C3 17,31.0
2 23 C3 18,6.0
2 23 C3 19,13.0
2 23 C3 20,9.0
2 23 C3 21,20.0
2 23 C3 22,4.0
2 23 C3 23,4.0
2 23 C3 24,32.0
2 23 C3 25,19.0
2 23 C3 26,6.0
2 23 C3 27,14.0
2 23 C3 28,2.0
2 23 C3 29,45.0
2 23 C3 30,18.0
2 23 C3 31,31.0
2 23 C3 32,23.0
2 23 C3 33,29.0
2 23 C3 34,9.0
2 23 C3 35,19.0
2 23 C3 36,31.0
2 23 C3 37,6.0
2 23 C3 38,8.0
2 23 C3 39,13.0
2 23 C3 40,18.0
2 23 C3 41,15.0
2 23 C3 42,19.0
2 23 C3 43,22.0
2 23 C3 44,10.0
2 23 C3 45,23.0
2 23 C3 46,24.0
2 23 C3 47,8.0
2 23 C3 48,28.0
2 23 C3 49,11.0
2 23 C3 50,20.0
2 23 C3 51,18.0
2 23 C3 52,36.0
2 23 C3 53,12.0
2 23 C3 54,9.0
2 23 C3 55,13.0
2 23 C3 56,2.0
2 23 C3 57,22.0
2 23 C3 58,13.0
2 23 C3 59,22.0
2 23 C3 60,5.0
2 24 C4 1,27.0
2 24 C4 2,7.0
2 24 C4 3,28.0
2 24 C4 4,20.0
2 24 C4 5,13.0
2 24 C4 6,24.0
2 24 C4 7,65.0
2 24 C4 8,6.0
2 24 C4 9,15.0
2 24 C4 10,17.0
2 24 C4 11,39.0
2 24 C4 12,34.0
2 24 C4 13,32.0
2 24 C4 14,17.0
2 24 C4 15,52.0
2 24 C4 16,16.0
2 24 C4 17,16.0
2 24 C4 18,11.0
2 24 C4 19,60.0
2 24 C4 20,40.0
2 24 C4 21,13.0
2 24 C4 22,9.0
2 24 C4 23,18.0
2 24 C4 24,12.0
2 24 C4 25,26.0
2 24 C4 26,2.0
2 24 C4 27,12.0
2 24 C4 28,21.0
2 24 C4 29,52.0
2 24 C4 30,70.0
2 24 C4 31,1.0
2 24 C4 32,30.0
2 24 C4 33,14.0
2 24 C4 34,47.0
2 24 C4 35,18.0
2 24 C4 36,15.0
2 24 C4 37,19.0
2 24 C4 38,19.0
2 24 C4 39,1.0
2 24 C4 40,47.0
2 24 C4 41,17.0
2 24 C4 42,54.0
2 24 C4 43,29.0
2 24 C4 44,7.0
2 24 C4 45,17.0
2 24 C4 46,18.0
2 24 C4 47,43.0
2 24 C4 48,2.0
2 24 C4 49,17.0
2 24 C4 50,37.0
2 24 C4 51,11.0
2 24 C4 52,0.0
2 24 C4 53,13.0
2 24 C4 54,52.0
2 24 C4 55,14.0
2 24 C4 56,37.0
2 24 C4 57,18.0
2 24 C4 58,57.0
2 24 C4 59,11.0
2 24 C4 60,40.0
2 25 C5 1,34.0
2 25 C5 2,0.0
2 25 C5 3,20.0
2 25 C5 4,18.0
2 25 C5 5,31.0
2 25 C5 6,9.0
2 25 C5 7,15.0
2 25 C5 8,37.0
2 25 C5 9,28.0
2 25 C5 10,16.0
2 25 C5 11,24.0
2 25 C5 12,1.0
2 25 C5 13,28.0
2 25 C5 14,19.0
2 25 C5 15,3.0
2 25 C5 16,13.0
2 25 C5 17,26.0
2 25 C5 18,42.0
2 25 C5 19,13.0
2 25 C5 20,53.0
2 25 C5 21,31.0
2 25 C5 22,24.0
2 25 C5 23,22.0
2 25 C5 24,28.0
2 25 C5 25,25.0
2 25 C5 26,11.0
2 25 C5 27,11.0
2 25 C5 28,29.0
2 25 C5 29,18.0
2 25 C5 30,12.0
2 25 C5 31,17.0
