RootImage,BotSum,HumanSum
C1 46,8,18
C1 47,6,12
C1 19,1,6
C1 48,17,20
C1 43,11,18
C1 39,5,12
C1 21,4,9
C1 12,4,6
C1 28,11,18
C1 17,17,27
C1 18,5,25
C1 25,2,13
C1 33,2,7
C1 10,19,25
C1 37,2,12
C1 26,13,24
C1 7,13,22
C1 6,11,30
C1 51,2,7
C1 9,3,14
C1 58,0,3
C1 23,10,14
C1 11,13,21
C1 14,3,14
C1 57,17,27
C1 5,7,21
C1 53,16,24
C1 1,2,8
C1 15,7,12
C1 41,11,15
C1 36,1,12
C1 30,5,12
C1 44,9,21
C1 38,15,36
C1 27,5,21
C1 55,11,18
C1 32,6,17
C1 60,10,22
C1 8,3,13
C1 29,11,20
C1 13,16,19
C1 52,11,19
C1 59,11,36
C1 31,8,14
C1 3,14,27
C1 2,8,9
C1 50,3,11
C1 35,1,6
C1 4,4,12
C1 56,1,5
C1 16,0,5
C1 45,10,17
C1 34,18,21
C1 20,1,8
C1 42,15,22
C1 22,9,14
C1 54,3,4
C1 24,2,21
C1 49,6,15
C1 40,7,13
