RootImage,BotSum,HumanSum
C1 46,10,18
C1 47,7,12
C1 19,1,6
C1 48,20,20
C1 43,11,18
C1 39,7,12
C1 21,4,9
C1 12,3,6
C1 28,11,18
C1 17,13,27
C1 18,5,25
C1 25,3,13
C1 33,2,7
C1 10,16,25
C1 37,6,12
C1 26,21,24
C1 7,13,22
C1 6,22,30
C1 51,2,7
C1 9,4,14
C1 58,0,3
C1 23,6,14
C1 11,11,21
C1 14,2,14
C1 57,15,27
C1 5,8,21
C1 53,12,24
C1 1,2,8
C1 15,7,12
C1 41,12,15
C1 36,2,12
C1 30,7,12
C1 44,8,21
C1 38,24,36
C1 27,9,21
C1 55,13,18
C1 32,2,17
C1 60,8,22
C1 8,4,13
C1 29,10,20
C1 13,13,19
C1 52,12,19
C1 59,11,36
C1 31,7,14
C1 3,16,27
C1 2,5,9
C1 50,0,11
C1 35,4,6
C1 4,3,12
C1 56,2,5
C1 16,0,5
C1 45,7,17
C1 34,15,21
C1 20,1,8
C1 42,17,22
C1 22,9,14
C1 54,3,4
C1 24,3,21
C1 49,7,15
C1 40,7,13
