RootImage,BotSum,HumanSum
C1 46,16,18
C1 47,9,12
C1 19,4,6
C1 48,20,20
C1 43,14,18
C1 39,9,12
C1 21,8,9
C1 12,6,6
C1 28,12,18
C1 17,18,27
C1 18,5,25
C1 25,6,13
C1 33,1,7
C1 10,16,25
C1 37,13,12
C1 26,34,24
C1 7,16,22
C1 6,31,30
C1 51,3,7
C1 9,5,14
C1 58,1,3
C1 23,12,14
C1 11,14,21
C1 14,9,14
C1 57,21,27
C1 5,15,21
C1 53,20,24
C1 1,8,8
C1 15,8,12
C1 41,14,15
C1 36,4,12
C1 30,11,12
C1 44,10,21
C1 38,28,36
C1 27,8,21
C1 55,16,18
C1 32,5,17
C1 60,12,22
C1 8,8,13
C1 29,18,20
C1 13,24,19
C1 52,15,19
C1 59,16,36
C1 31,13,14
C1 3,16,27
C1 2,5,9
C1 50,0,11
C1 35,4,6
C1 4,7,12
C1 56,2,5
C1 16,1,5
C1 45,17,17
C1 34,14,21
C1 20,3,8
C1 42,19,22
C1 22,13,14
C1 54,8,4
C1 24,4,21
C1 49,9,15
C1 40,9,13
