RootImage,BotSum,HumanSum
C1 46,18,18
C1 47,10,12
C1 19,4,6
C1 48,23,20
C1 43,13,18
C1 39,8,12
C1 21,9,9
C1 12,8,6
C1 28,18,18
C1 17,23,27
C1 18,12,25
C1 25,4,13
C1 33,4,7
C1 10,22,25
C1 37,9,12
C1 26,20,24
C1 7,20,22
C1 6,32,30
C1 51,5,7
C1 9,7,14
C1 58,3,3
C1 23,13,14
C1 11,16,21
C1 14,10,14
C1 57,25,27
C1 5,17,21
C1 53,18,24
C1 1,7,8
C1 15,10,12
C1 41,14,15
C1 36,6,12
C1 30,8,12
C1 44,15,21
C1 38,37,36
C1 27,12,21
C1 55,19,18
C1 32,10,17
C1 60,16,22
C1 8,14,13
C1 29,23,20
C1 13,21,19
C1 52,17,19
C1 59,22,36
C1 31,17,14
C1 3,26,27
C1 2,6,9
C1 50,4,11
C1 35,5,6
C1 4,7,12
C1 56,6,5
C1 16,3,5
C1 45,12,17
C1 34,23,21
C1 20,3,8
C1 42,18,22
C1 22,16,14
C1 54,3,4
C1 24,12,21
C1 49,11,15
C1 40,14,13
