RootImage,BotSum,HumanSum
C1 46,0,18
C1 47,0,12
C1 19,0,6
C1 48,0,20
C1 43,0,18
C1 39,0,12
C1 21,0,9
C1 12,0,6
C1 28,0,18
C1 17,0,27
C1 18,0,25
C1 25,0,13
C1 33,0,7
C1 10,0,25
C1 37,0,12
C1 26,0,24
C1 7,0,22
C1 6,0,30
C1 51,0,7
C1 9,0,14
C1 58,0,3
C1 23,0,14
C1 11,0,21
C1 14,0,14
C1 57,0,27
C1 5,0,21
C1 53,0,24
C1 1,0,8
C1 15,0,12
C1 41,0,15
C1 36,0,12
C1 30,0,12
C1 44,0,21
C1 38,0,36
C1 27,0,21
C1 55,0,18
C1 32,0,17
C1 60,0,22
C1 8,0,13
C1 29,0,20
C1 13,0,19
C1 52,0,19
C1 59,0,36
C1 31,0,14
C1 3,0,27
C1 2,0,9
C1 50,0,11
C1 35,0,6
C1 4,0,12
C1 56,0,5
C1 16,0,5
C1 45,0,17
C1 34,0,21
C1 20,0,8
C1 42,0,22
C1 22,0,14
C1 54,0,4
C1 24,0,21
C1 49,0,15
C1 40,0,13
