RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,2,3
ACO1 Control 5-3 48,3,4
NCO1 Lithium 5-3 20,4,9
AO1 Lithium 5-3 37,0,3
NCO1 Lithium 5-3 17,0,5
CO1 Lithium 5-3 25,3,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,2,1
ACO1 Control 5-3 25,1,1
nCO1 Control 5-3 7,0,2
nCO1 Control 5-3 8,3,1
CO1 Lithium 5-3 35,3,6
CO1 Control 5-3 22,0,7
CO1 Lithium 5-3 5,1,3
ACO1 Lithium 5-3 18,2,3
NCO1 Lithium 5-3 35,0,3
NCO1 Lithium 5-3 6,2,3
nCO1 Control 5-3 35,3,1
CO1 Lithium 5-3 37,7,8
CO1 Lithium 5-3 33,2,10
ACO1 Lithium 5-3 35,2,1
nCO1 Control 5-3 29,0,2
AO1 Lithium 5-3 44,1,1
AO1 Lithium 5-3 45,2,2
CO1 Lithium 5-3 48,4,3
NCO1 Lithium 5-3 15,1,6
ACO1 Lithium 5-3 20,2,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,0,1
AO1 Lithium 5-3 21,4,3
ACO1 Control 5-3 31,4,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,2,2
AO1 Lithium 5-3 8,0,0
nCO1 Control 5-3 17,2,0
CO1 Lithium 5-3 3,2,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,1,2
CO1 Control 5-3 28,2,1
CO1 Lithium 5-3 34,4,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,0,1
ACO1 Lithium 5-3 33,1,4
ACO1 Lithium 5-3 29,1,3
NCO1 Lithium 5-3 5,5,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,1,8
nCO1 Control 5-3 34,0,0
CO1 Control 5-3 40,3,2
ACO1 Control 5-3 12,2,4
AO1 Control 5-3 41,1,3
ACO1 Lithium 5-3 22,1,2
nCO1 Control 5-3 32,2,2
ACO1 Lithium 5-3 15,1,4
ACO1 Control 5-3 6,1,1
nCO1 Control 5-3 25,3,2
ACO1 Lithium 5-3 50,0,1
NCO1 Lithium 5-3 10,9,13
ACO1 Control 5-3 17,0,1
CO1 Control 5-3 42,0,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,1,7
CO1 Control 5-3 32,1,4
AO1 Control 5-3 12,5,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,0,2
CO1 Lithium 5-3 15,2,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,7,11
nCO1 Control 5-3 20,7,7
CO1 Control 5-3 15,5,3
CO1 Control 5-3 10,7,6
AO1 Control 5-3 7,0,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,6,4
NCO1 Lithium 5-3 47,1,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,0,5
NCO1 Lithium 5-3 18,11,13
nCO1 Control 5-3 37,4,4
NCO1 Lithium 5-3 2,0,2
CO1 Lithium 5-3 24,2,5
ACO1 Control 5-3 10,3,3
NCO1 Lithium 5-3 36,12,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,0,0
ACO1 Lithium 5-3 19,4,3
AO1 Control 5-3 36,0,0
nCO1 Control 5-3 10,15,9
CO1 Control 5-3 8,5,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,1,0
ACO1 Control 5-3 46,0,1
