RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,3,3
ACO1 Control 5-3 48,2,4
NCO1 Lithium 5-3 20,10,9
AO1 Lithium 5-3 37,5,3
NCO1 Lithium 5-3 17,2,5
CO1 Lithium 5-3 25,3,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,4,1
ACO1 Control 5-3 25,2,1
nCO1 Control 5-3 7,3,2
nCO1 Control 5-3 8,3,1
CO1 Lithium 5-3 35,3,6
CO1 Control 5-3 22,13,7
CO1 Lithium 5-3 5,2,3
ACO1 Lithium 5-3 18,3,3
NCO1 Lithium 5-3 35,4,3
NCO1 Lithium 5-3 6,2,3
nCO1 Control 5-3 35,4,1
CO1 Lithium 5-3 37,6,8
CO1 Lithium 5-3 33,6,10
ACO1 Lithium 5-3 35,4,1
nCO1 Control 5-3 29,0,2
AO1 Lithium 5-3 44,2,1
AO1 Lithium 5-3 45,4,2
CO1 Lithium 5-3 48,5,3
NCO1 Lithium 5-3 15,6,6
ACO1 Lithium 5-3 20,2,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,6,1
AO1 Lithium 5-3 21,5,3
ACO1 Control 5-3 31,3,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,4,2
AO1 Lithium 5-3 8,1,0
nCO1 Control 5-3 17,2,0
CO1 Lithium 5-3 3,6,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,5,1
CO1 Lithium 5-3 34,2,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,2,1
ACO1 Lithium 5-3 33,6,4
ACO1 Lithium 5-3 29,2,3
NCO1 Lithium 5-3 5,8,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,5,8
nCO1 Control 5-3 34,0,0
CO1 Control 5-3 40,5,2
ACO1 Control 5-3 12,3,4
AO1 Control 5-3 41,4,3
ACO1 Lithium 5-3 22,1,2
nCO1 Control 5-3 32,4,2
ACO1 Lithium 5-3 15,4,4
ACO1 Control 5-3 6,2,1
nCO1 Control 5-3 25,5,2
ACO1 Lithium 5-3 50,0,1
NCO1 Lithium 5-3 10,9,13
ACO1 Control 5-3 17,1,1
CO1 Control 5-3 42,0,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,11,7
CO1 Control 5-3 32,3,4
AO1 Control 5-3 12,3,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,4,2
CO1 Lithium 5-3 15,4,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,13,11
nCO1 Control 5-3 20,12,7
CO1 Control 5-3 15,6,3
CO1 Control 5-3 10,9,6
AO1 Control 5-3 7,2,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,9,4
NCO1 Lithium 5-3 47,8,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,6,5
NCO1 Lithium 5-3 18,16,13
nCO1 Control 5-3 37,3,4
NCO1 Lithium 5-3 2,3,2
CO1 Lithium 5-3 24,4,5
ACO1 Control 5-3 10,5,3
NCO1 Lithium 5-3 36,18,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,0,0
ACO1 Lithium 5-3 19,6,3
AO1 Control 5-3 36,0,0
nCO1 Control 5-3 10,14,9
CO1 Control 5-3 8,6,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,4,0
ACO1 Control 5-3 46,0,1
AO1 Lithium 5-3 1,4,2
CO1 Lithium 5-3 23,5,4
nCO1 Control 5-3 45,0,0
NCO1 Lithium 5-3 13,9,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,5,5
AO1 Lithium 5-3 30,4,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,2,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,1,1
ACO1 Control 5-3 23,16,10
CO1 Control 5-3 6,6,5
AO1 Lithium 5-3 18,0,0
AO1 Control 5-3 39,19,13
NCO1 Lithium 5-3 44,4,5
ACO1 Control 5-3 28,9,4
CO1 Control 5-3 9,5,2
nCO1 Control 5-3 31,0,1
AO1 Lithium 5-3 26,5,4
AO1 Control 5-3 40,2,1
ACO1 Lithium 5-3 44,8,7
CO1 Control 5-3 39,7,1
AO1 Lithium 5-3 42,4,7
AO1 Control 5-3 46,12,10
NCO1 Lithium 5-3 14,7,7
AO1 Lithium 5-3 22,1,2
ACO1 Control 5-3 15,5,3
AO1 Lithium 5-3 14,0,1
ACO1 Lithium 5-3 16,8,7
AO1 Lithium 5-3 48,3,3
CO1 Lithium 5-3 30,1,2
nCO1 Control 5-3 14,4,4
nCO1 Control 5-3 19,20,15
AO1 Lithium 5-3 6,1,0
NCO1 Lithium 5-3 26,0,0
AO1 Lithium 5-3 35,0,0
CO1 Control 5-3 34,1,1
NCO1 Lithium 5-3 25,0,3
NCO1 Lithium 5-3 32,1,2
CO1 Control 5-3 21,5,1
NCO1 Lithium 5-3 3,0,0
