RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,3,3
ACO1 Control 5-3 48,2,4
NCO1 Lithium 5-3 20,11,9
AO1 Lithium 5-3 37,1,3
NCO1 Lithium 5-3 17,2,5
CO1 Lithium 5-3 25,1,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,3,1
ACO1 Control 5-3 25,1,1
nCO1 Control 5-3 7,0,2
nCO1 Control 5-3 8,5,1
CO1 Lithium 5-3 35,5,6
CO1 Control 5-3 22,4,7
CO1 Lithium 5-3 5,3,3
ACO1 Lithium 5-3 18,3,3
NCO1 Lithium 5-3 35,3,3
NCO1 Lithium 5-3 6,5,3
nCO1 Control 5-3 35,3,1
CO1 Lithium 5-3 37,13,8
CO1 Lithium 5-3 33,10,10
ACO1 Lithium 5-3 35,1,1
nCO1 Control 5-3 29,2,2
AO1 Lithium 5-3 44,1,1
AO1 Lithium 5-3 45,3,2
CO1 Lithium 5-3 48,4,3
NCO1 Lithium 5-3 15,1,6
ACO1 Lithium 5-3 20,1,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,1,1
AO1 Lithium 5-3 21,4,3
ACO1 Control 5-3 31,1,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,1,2
AO1 Lithium 5-3 8,2,0
nCO1 Control 5-3 17,1,0
CO1 Lithium 5-3 3,6,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,4,1
CO1 Lithium 5-3 34,3,5
AO1 Control 5-3 28,2,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,1,1
ACO1 Lithium 5-3 33,2,4
ACO1 Lithium 5-3 29,3,3
NCO1 Lithium 5-3 5,7,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,6,8
nCO1 Control 5-3 34,4,0
CO1 Control 5-3 40,1,2
ACO1 Control 5-3 12,3,4
AO1 Control 5-3 41,4,3
ACO1 Lithium 5-3 22,2,2
nCO1 Control 5-3 32,4,2
ACO1 Lithium 5-3 15,4,4
ACO1 Control 5-3 6,2,1
nCO1 Control 5-3 25,4,2
ACO1 Lithium 5-3 50,0,1
NCO1 Lithium 5-3 10,11,13
ACO1 Control 5-3 17,1,1
CO1 Control 5-3 42,6,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,9,7
CO1 Control 5-3 32,5,4
AO1 Control 5-3 12,3,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,5,2
CO1 Lithium 5-3 15,4,3
CO1 Control 5-3 4,1,1
ACO1 Control 5-3 13,19,11
nCO1 Control 5-3 20,11,7
CO1 Control 5-3 15,3,3
CO1 Control 5-3 10,7,6
AO1 Control 5-3 7,1,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,9,4
NCO1 Lithium 5-3 47,2,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,7,5
NCO1 Lithium 5-3 18,13,13
nCO1 Control 5-3 37,3,4
NCO1 Lithium 5-3 2,2,2
CO1 Lithium 5-3 24,3,5
ACO1 Control 5-3 10,6,3
NCO1 Lithium 5-3 36,17,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,1,0
ACO1 Lithium 5-3 19,5,3
AO1 Control 5-3 36,0,0
nCO1 Control 5-3 10,13,9
CO1 Control 5-3 8,7,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,1,0
ACO1 Control 5-3 46,1,1
AO1 Lithium 5-3 1,1,2
CO1 Lithium 5-3 23,8,4
nCO1 Control 5-3 45,1,0
NCO1 Lithium 5-3 13,9,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,3,5
AO1 Lithium 5-3 30,4,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,7,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,0,1
ACO1 Control 5-3 23,16,10
CO1 Control 5-3 6,10,5
AO1 Lithium 5-3 18,0,0
AO1 Control 5-3 39,11,13
NCO1 Lithium 5-3 44,4,5
ACO1 Control 5-3 28,5,4
CO1 Control 5-3 9,5,2
nCO1 Control 5-3 31,2,1
AO1 Lithium 5-3 26,2,4
AO1 Control 5-3 40,1,1
ACO1 Lithium 5-3 44,9,7
CO1 Control 5-3 39,2,1
AO1 Lithium 5-3 42,7,7
AO1 Control 5-3 46,7,10
NCO1 Lithium 5-3 14,6,7
AO1 Lithium 5-3 22,2,2
ACO1 Control 5-3 15,16,3
AO1 Lithium 5-3 14,0,1
ACO1 Lithium 5-3 16,3,7
AO1 Lithium 5-3 48,2,3
CO1 Lithium 5-3 30,1,2
nCO1 Control 5-3 14,6,4
nCO1 Control 5-3 19,23,15
AO1 Lithium 5-3 6,0,0
NCO1 Lithium 5-3 26,0,0
AO1 Lithium 5-3 35,0,0
CO1 Control 5-3 34,1,1
NCO1 Lithium 5-3 25,3,3
NCO1 Lithium 5-3 32,2,2
CO1 Control 5-3 21,2,1
NCO1 Lithium 5-3 3,1,0
