RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,3,3
ACO1 Control 5-3 48,2,4
NCO1 Lithium 5-3 20,7,9
AO1 Lithium 5-3 37,1,3
NCO1 Lithium 5-3 17,2,5
CO1 Lithium 5-3 25,1,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,3,1
ACO1 Control 5-3 25,2,1
nCO1 Control 5-3 7,1,2
nCO1 Control 5-3 8,5,1
CO1 Lithium 5-3 35,3,6
CO1 Control 5-3 22,7,7
CO1 Lithium 5-3 5,3,3
ACO1 Lithium 5-3 18,2,3
NCO1 Lithium 5-3 35,1,3
NCO1 Lithium 5-3 6,3,3
nCO1 Control 5-3 35,4,1
CO1 Lithium 5-3 37,8,8
CO1 Lithium 5-3 33,6,10
ACO1 Lithium 5-3 35,1,1
nCO1 Control 5-3 29,1,2
AO1 Lithium 5-3 44,1,1
AO1 Lithium 5-3 45,1,2
CO1 Lithium 5-3 48,3,3
NCO1 Lithium 5-3 15,2,6
ACO1 Lithium 5-3 20,3,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,5,1
AO1 Lithium 5-3 21,3,3
ACO1 Control 5-3 31,2,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,1,2
AO1 Lithium 5-3 8,2,0
nCO1 Control 5-3 17,3,0
CO1 Lithium 5-3 3,2,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,1,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,2,1
CO1 Lithium 5-3 34,2,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,2,0
AO1 Control 5-3 16,1,1
ACO1 Lithium 5-3 33,2,4
ACO1 Lithium 5-3 29,3,3
NCO1 Lithium 5-3 5,8,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,3,8
nCO1 Control 5-3 34,1,0
CO1 Control 5-3 40,3,2
ACO1 Control 5-3 12,3,4
AO1 Control 5-3 41,2,3
ACO1 Lithium 5-3 22,2,2
nCO1 Control 5-3 32,3,2
ACO1 Lithium 5-3 15,3,4
ACO1 Control 5-3 6,1,1
nCO1 Control 5-3 25,4,2
ACO1 Lithium 5-3 50,1,1
NCO1 Lithium 5-3 10,6,13
ACO1 Control 5-3 17,1,1
CO1 Control 5-3 42,2,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,4,7
CO1 Control 5-3 32,4,4
AO1 Control 5-3 12,3,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,4,2
CO1 Lithium 5-3 15,2,3
CO1 Control 5-3 4,1,1
ACO1 Control 5-3 13,16,11
nCO1 Control 5-3 20,15,7
CO1 Control 5-3 15,3,3
CO1 Control 5-3 10,6,6
AO1 Control 5-3 7,1,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,9,4
NCO1 Lithium 5-3 47,4,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,5,5
NCO1 Lithium 5-3 18,12,13
nCO1 Control 5-3 37,5,4
NCO1 Lithium 5-3 2,1,2
CO1 Lithium 5-3 24,4,5
ACO1 Control 5-3 10,3,3
NCO1 Lithium 5-3 36,10,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,1,0
ACO1 Lithium 5-3 19,4,3
AO1 Control 5-3 36,2,0
nCO1 Control 5-3 10,12,9
CO1 Control 5-3 8,6,2
ACO1 Lithium 5-3 48,1,4
CO1 Control 5-3 37,1,0
ACO1 Control 5-3 46,2,1
AO1 Lithium 5-3 1,2,2
CO1 Lithium 5-3 23,3,4
nCO1 Control 5-3 45,1,0
NCO1 Lithium 5-3 13,5,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,5,5
AO1 Lithium 5-3 30,7,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,3,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,2,1
ACO1 Control 5-3 23,10,10
CO1 Control 5-3 6,6,5
AO1 Lithium 5-3 18,0,0
AO1 Control 5-3 39,11,13
NCO1 Lithium 5-3 44,4,5
ACO1 Control 5-3 28,4,4
CO1 Control 5-3 9,4,2
nCO1 Control 5-3 31,2,1
AO1 Lithium 5-3 26,4,4
AO1 Control 5-3 40,1,1
ACO1 Lithium 5-3 44,6,7
CO1 Control 5-3 39,2,1
AO1 Lithium 5-3 42,6,7
AO1 Control 5-3 46,9,10
NCO1 Lithium 5-3 14,3,7
AO1 Lithium 5-3 22,2,2
ACO1 Control 5-3 15,11,3
AO1 Lithium 5-3 14,1,1
ACO1 Lithium 5-3 16,4,7
AO1 Lithium 5-3 48,2,3
CO1 Lithium 5-3 30,2,2
nCO1 Control 5-3 14,5,4
nCO1 Control 5-3 19,20,15
AO1 Lithium 5-3 6,2,0
NCO1 Lithium 5-3 26,2,0
AO1 Lithium 5-3 35,0,0
CO1 Control 5-3 34,1,1
NCO1 Lithium 5-3 25,4,3
NCO1 Lithium 5-3 32,2,2
CO1 Control 5-3 21,2,1
NCO1 Lithium 5-3 3,0,0
