RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,0,3
ACO1 Control 5-3 48,0,4
NCO1 Lithium 5-3 20,0,9
AO1 Lithium 5-3 37,0,3
NCO1 Lithium 5-3 17,0,5
CO1 Lithium 5-3 25,0,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,0,1
ACO1 Control 5-3 25,0,1
nCO1 Control 5-3 7,0,2
nCO1 Control 5-3 8,0,1
CO1 Lithium 5-3 35,0,6
CO1 Control 5-3 22,0,7
CO1 Lithium 5-3 5,0,3
ACO1 Lithium 5-3 18,0,3
NCO1 Lithium 5-3 35,0,3
NCO1 Lithium 5-3 6,0,3
nCO1 Control 5-3 35,0,1
CO1 Lithium 5-3 37,0,8
CO1 Lithium 5-3 33,0,10
ACO1 Lithium 5-3 35,0,1
nCO1 Control 5-3 29,0,2
AO1 Lithium 5-3 44,0,1
AO1 Lithium 5-3 45,0,2
CO1 Lithium 5-3 48,0,3
NCO1 Lithium 5-3 15,0,6
ACO1 Lithium 5-3 20,0,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,0,1
AO1 Lithium 5-3 21,0,3
ACO1 Control 5-3 31,0,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,0,2
AO1 Lithium 5-3 8,0,0
nCO1 Control 5-3 17,0,0
CO1 Lithium 5-3 3,0,6
nCO1 Control 5-3 41,0,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,0,2
CO1 Control 5-3 28,0,1
CO1 Lithium 5-3 34,0,5
AO1 Control 5-3 28,0,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,0,1
ACO1 Lithium 5-3 33,0,4
ACO1 Lithium 5-3 29,0,3
NCO1 Lithium 5-3 5,0,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,0,8
nCO1 Control 5-3 34,0,0
CO1 Control 5-3 40,0,2
ACO1 Control 5-3 12,0,4
AO1 Control 5-3 41,0,3
ACO1 Lithium 5-3 22,0,2
nCO1 Control 5-3 32,0,2
ACO1 Lithium 5-3 15,0,4
ACO1 Control 5-3 6,0,1
nCO1 Control 5-3 25,0,2
ACO1 Lithium 5-3 50,0,1
NCO1 Lithium 5-3 10,0,13
ACO1 Control 5-3 17,0,1
CO1 Control 5-3 42,0,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,0,7
CO1 Control 5-3 32,0,4
AO1 Control 5-3 12,0,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,0,2
CO1 Lithium 5-3 15,0,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,0,11
nCO1 Control 5-3 20,0,7
CO1 Control 5-3 15,0,3
CO1 Control 5-3 10,0,6
AO1 Control 5-3 7,0,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,0,4
NCO1 Lithium 5-3 47,0,4
