ImageName,RootImage,Bot,Human
eggs0countAO1 Control 5-3 5 pt8.jpg,AO1 Control 5-3 5,0,0
eggs0countACO1 Lithium 5-3 9 pt5.jpg,ACO1 Lithium 5-3 9,0,0
eggs0countACO1 Control 5-3 48 pt80.jpg,ACO1 Control 5-3 48,0,0
eggs0countNCO1 Lithium 5-3 20 pt19.jpg,NCO1 Lithium 5-3 20,0,0
eggs0countAO1 Lithium 5-3 37 pt60.jpg,AO1 Lithium 5-3 37,0,0
eggs0countNCO1 Lithium 5-3 17 pt81.jpg,NCO1 Lithium 5-3 17,0,0
eggs0countCO1 Lithium 5-3 25 pt23.jpg,CO1 Lithium 5-3 25,0,0
eggs0countACO1 Lithium 5-3 7 pt20.jpg,ACO1 Lithium 5-3 7,0,0
eggs0countACO1 Control 5-3 50 pt90.jpg,ACO1 Control 5-3 50,0,0
eggs0countACO1 Control 5-3 25 pt70.jpg,ACO1 Control 5-3 25,0,0
eggs0countnCO1 Control 5-3 7 pt42.jpg,nCO1 Control 5-3 7,0,0
eggs0countnCO1 Control 5-3 8 pt81.jpg,nCO1 Control 5-3 8,0,0
eggs0countCO1 Lithium 5-3 35 pt9.jpg,CO1 Lithium 5-3 35,0,0
eggs0countCO1 Control 5-3 22 pt64.jpg,CO1 Control 5-3 22,0,0
eggs0countCO1 Lithium 5-3 5 pt35.jpg,CO1 Lithium 5-3 5,0,0
eggs0countACO1 Lithium 5-3 18 pt29.jpg,ACO1 Lithium 5-3 18,0,0
eggs0countNCO1 Lithium 5-3 35 pt61.jpg,NCO1 Lithium 5-3 35,0,0
eggs0countNCO1 Lithium 5-3 6 pt11.jpg,NCO1 Lithium 5-3 6,0,0
eggs1countnCO1 Control 5-3 35 pt15.jpg,nCO1 Control 5-3 35,0,1
eggs0countNCO1 Lithium 5-3 35 pt8.jpg,NCO1 Lithium 5-3 35,0,0
eggs0countCO1 Lithium 5-3 37 pt18.jpg,CO1 Lithium 5-3 37,0,0
eggs0countCO1 Lithium 5-3 33 pt51.jpg,CO1 Lithium 5-3 33,0,0
eggs0countACO1 Lithium 5-3 35 pt3.jpg,ACO1 Lithium 5-3 35,0,0
eggs0countnCO1 Control 5-3 29 pt8.jpg,nCO1 Control 5-3 29,0,0
eggs0countAO1 Lithium 5-3 44 pt20.jpg,AO1 Lithium 5-3 44,0,0
eggs0countAO1 Lithium 5-3 45 pt62.jpg,AO1 Lithium 5-3 45,0,0
eggs0countCO1 Lithium 5-3 48 pt89.jpg,CO1 Lithium 5-3 48,0,0
eggs0countNCO1 Lithium 5-3 15 pt76.jpg,NCO1 Lithium 5-3 15,0,0
eggs0countACO1 Lithium 5-3 20 pt4.jpg,ACO1 Lithium 5-3 20,0,0
eggs0countCO1 Control 5-3 14 pt2.jpg,CO1 Control 5-3 14,0,0
eggs0countCO1 Control 5-3 46 pt13.jpg,CO1 Control 5-3 46,0,0
eggs1countAO1 Lithium 5-3 21 pt36.jpg,AO1 Lithium 5-3 21,0,1
eggs0countACO1 Control 5-3 31 pt44.jpg,ACO1 Control 5-3 31,0,0
eggs0countCO1 Lithium 5-3 33 pt91.jpg,CO1 Lithium 5-3 33,0,0
eggs0countCO1 Control 5-3 48 pt94.jpg,CO1 Control 5-3 48,0,0
eggs2countACO1 Lithium 5-3 39 pt96.jpg,ACO1 Lithium 5-3 39,0,2
eggs0countAO1 Lithium 5-3 8 pt4.jpg,AO1 Lithium 5-3 8,0,0
eggs0countnCO1 Control 5-3 17 pt97.jpg,nCO1 Control 5-3 17,0,0
eggs0countCO1 Lithium 5-3 3 pt71.jpg,CO1 Lithium 5-3 3,0,0
eggs0countnCO1 Control 5-3 41 pt71.jpg,nCO1 Control 5-3 41,0,0
eggs0countCO1 Lithium 5-3 42 pt27.jpg,CO1 Lithium 5-3 42,0,0
eggs0countAO1 Control 5-3 2 pt40.jpg,AO1 Control 5-3 2,0,0
eggs0countCO1 Control 5-3 28 pt31.jpg,CO1 Control 5-3 28,0,0
