ImageName,RootImage,Bot,Human
eggs0countACO1 Lithium 5-4 8 pt36.jpg,ACO1 Lithium 5-4 8,2,0
eggs1countCO1 Control 5-4 34 pt47.jpg,CO1 Control 5-4 34,2,1
eggs0countCO1 Control 5-4 41 pt1.jpg,CO1 Control 5-4 41,0,0
eggs0countnCO1 Lithium 5-4 32 pt61.jpg,nCO1 Lithium 5-4 32,0,0
eggs0countAO1 Control 5-4 25 pt55.jpg,AO1 Control 5-4 25,0,0
eggs0countnCO1 Lithium 5-4 46 pt85.jpg,nCO1 Lithium 5-4 46,2,0
eggs0countCO1 Control 5-4 14 pt31.jpg,CO1 Control 5-4 14,0,0
eggs0countnCO1 Control 5-4 8 pt26.jpg,nCO1 Control 5-4 8,3,0
eggs0countAO1 Lithium 5-4 40 pt82.jpg,AO1 Lithium 5-4 40,0,0
eggs0countnCO1 Lithium 5-4 19 pt30.jpg,nCO1 Lithium 5-4 19,0,0
eggs0countACO1 Lithium 5-4 14 pt96.jpg,ACO1 Lithium 5-4 14,0,0
eggs0countACO1 Control 5-4 33 pt72.jpg,ACO1 Control 5-4 33,0,0
eggs0countAO1 Control 5-4 7 pt17.jpg,AO1 Control 5-4 7,2,0
eggs0countAO1 Lithium 5-4 14 pt17.jpg,AO1 Lithium 5-4 14,0,0
eggs0countACO1 Lithium 5-4 9 pt40.jpg,ACO1 Lithium 5-4 9,0,0
eggs0countACO1 Control 5-4 36 pt81.jpg,ACO1 Control 5-4 36,0,0
eggs0countACO1 Control 5-4 40 pt35.jpg,ACO1 Control 5-4 40,2,0
eggs1countCO1 Control 5-4 45 pt55.jpg,CO1 Control 5-4 45,3,1
eggs0countnCO1 Control 5-4 8 pt87.jpg,nCO1 Control 5-4 8,3,0
eggs0countCO1 Lithium 5-4 50 pt6.jpg,CO1 Lithium 5-4 50,0,0
eggs0countAO1 Control 5-4 27 pt17.jpg,AO1 Control 5-4 27,0,0
eggs1countACO1 Lithium 5-4 6 pt29.jpg,ACO1 Lithium 5-4 6,0,1
eggs0countAO1 Control 5-4 42 pt60.jpg,AO1 Control 5-4 42,0,0
eggs0countACO1 Control 5-4 17 pt91.jpg,ACO1 Control 5-4 17,0,0
eggs0countCO1 Lithium 5-4 13 pt1.jpg,CO1 Lithium 5-4 13,0,0
eggs0countAO1 Lithium 5-4 46 pt34.jpg,AO1 Lithium 5-4 46,0,0
eggs0countAO1 Control 5-4 33 pt91.jpg,AO1 Control 5-4 33,0,0
eggs9countCO1 Lithium 5-4 35 pt14.jpg,CO1 Lithium 5-4 35,0,9
eggs0countnCO1 Lithium 5-4 50 pt29.jpg,nCO1 Lithium 5-4 50,0,0
eggs0countCO1 Lithium 5-4 43 pt92.jpg,CO1 Lithium 5-4 43,0,0
