RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,123,61
CO1 Control 5-4 34,61,37
CO1 Control 5-4 41,168,43
nCO1 Lithium 5-4 32,28,10
AO1 Control 5-4 25,54,18
nCO1 Lithium 5-4 46,170,97
CO1 Control 5-4 14,130,73
nCO1 Control 5-4 8,140,77
AO1 Lithium 5-4 40,10,9
nCO1 Lithium 5-4 19,150,50
ACO1 Lithium 5-4 14,15,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,105,15
AO1 Lithium 5-4 14,30,4
ACO1 Lithium 5-4 9,95,31
ACO1 Control 5-4 36,160,36
ACO1 Control 5-4 40,17,0
CO1 Control 5-4 45,132,81
CO1 Lithium 5-4 50,155,54
AO1 Control 5-4 27,78,3
ACO1 Lithium 5-4 6,53,26
AO1 Control 5-4 42,86,22
ACO1 Control 5-4 17,80,5
CO1 Lithium 5-4 13,122,62
AO1 Lithium 5-4 46,16,0
AO1 Control 5-4 33,94,36
CO1 Lithium 5-4 35,118,86
nCO1 Lithium 5-4 50,192,94
CO1 Lithium 5-4 43,145,52
CO1 Control 5-4 3,85,51
ACO1 Lithium 5-4 26,73,4
CO1 Control 5-4 5,58,0
AO1 Control 5-4 41,143,28
CO1 Control 5-4 21,144,69
nCO1 Control 5-4 30,117,55
AO1 Lithium 5-4 37,123,42
nCO1 Control 5-4 14,82,48
CO1 Lithium 5-4 23,134,92
ACO1 Lithium 5-4 40,22,9
nCO1 Lithium 5-4 41,214,76
ACO1 Control 5-4 21,119,58
CO1 Lithium 5-4 20,136,61
AO1 Control 5-4 19,29,0
ACO1 Lithium 5-4 23,23,10
ACO1 Control 5-4 39,65,5
AO1 Lithium 5-4 39,17,0
ACO1 Lithium 5-4 20,48,19
CO1 Lithium 5-4 42,139,0
CO1 Lithium 5-4 32,166,82
nCO1 Control 5-4 44,198,113
nCO1 Control 5-4 45,121,29
AO1 Lithium 5-4 34,16,0
AO1 Control 5-4 9,92,37
AO1 Control 5-4 36,121,6
AO1 Lithium 5-4 12,34,28
nCO1 Lithium 5-4 11,188,92
CO1 Lithium 5-4 38,138,59
nCO1 Lithium 5-4 9,230,80
nCO1 Lithium 5-4 15,158,89
AO1 Lithium 5-4 33,96,49
nCO1 Lithium 5-4 49,111,14
AO1 Control 5-4 6,106,67
CO1 Control 5-4 12,165,69
CO1 Control 5-4 15,123,82
nCO1 Lithium 5-4 6,195,90
ACO1 Control 5-4 25,52,24
ACO1 Lithium 5-4 3,61,38
CO1 Control 5-4 29,124,82
AO1 Control 5-4 26,59,5
nCO1 Lithium 5-4 23,194,112
ACO1 Control 5-4 47,112,22
AO1 Lithium 5-4 15,30,10
CO1 Control 5-4 49,105,47
ACO1 Control 5-4 42,87,25
CO1 Lithium 5-4 46,122,52
ACO1 Control 5-4 26,92,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,153,78
ACO1 Lithium 5-4 42,83,37
nCO1 Lithium 5-4 13,78,90
nCO1 Control 5-4 48,31,0
AO1 Control 5-4 39,77,35
ACO1 Control 5-4 41,90,18
CO1 Lithium 5-4 28,165,76
nCO1 Control 5-4 16,48,0
ACO1 Lithium 5-4 1,56,13
ACO1 Lithium 5-4 38,81,0
nCO1 Lithium 5-4 7,165,88
CO1 Control 5-4 28,95,50
AO1 Lithium 5-4 30,71,41
ACO1 Control 5-4 22,93,29
nCO1 Lithium 5-4 16,185,117
ACO1 Control 5-4 18,120,22
CO1 Control 5-4 37,78,52
AO1 Control 5-4 47,45,33
AO1 Lithium 5-4 6,23,0
AO1 Control 5-4 44,64,30
