X,Y
38543,63.335
10319,232.4375
10849,128.3625
11409,1990.1575
11997,396.28
12616,172.155
13268,113.5975
13956,321.0125
14678,290.35
15440,151.99
16241,116.8
17084,169.57
17972,145.74
18907,203.1825
19891,206.205
20927,113.86
22017,105.645
23165,261.1475
24373,91.7175
25644,304.1025
26982,143.52
28392,86.875
29874,91.9575
31435,175.4525
33078,163.8275
34808,487.18
36627,80.17
40560,63.5725
42683,142.91
44919,63.7525
4672,186.095
47271,81.31
4907,385.2925
49749,157.9625
5153,275.3425
52357,104.655
5412,245.115
55104,550.465
5685,214.16
5972,345.325
6274,505.4125
6592,238.435
6926,318.705
7278,276.0175
7648,196.2575
8040,115.3075
8451,291.2025
8883,847.43
9337,495.8575
9816,329.855
