RootImage,PrimarySum,SecondarySum,BotSum,AverageSum,PrimaryDiff,SecondaryDiff,BotDiff
CO1 Control 5-4 45,51,63,65,57.0,6.0,6.0,8.0
ACO1 Lithium 5-4 6,16,22,19,19.0,3.0,3.0,0.0
ACO1 Control 5-4 21,28,43,30,35.5,7.5,7.5,5.5
nCO1 Control 5-4 44,53,59,69,56.0,3.0,3.0,13.0
nCO1 Lithium 5-4 50,35,48,51,41.5,6.5,6.5,9.5
CO1 Control 5-4 15,51,59,63,55.0,4.0,4.0,8.0
CO1 Control 5-4 29,27,43,38,35.0,8.0,8.0,3.0
AO1 Lithium 5-4 33,13,27,17,20.0,7.0,7.0,3.0
CO1 Lithium 5-4 47,33,43,39,38.0,5.0,5.0,1.0
AO1 Lithium 5-4 30,19,26,25,22.5,3.5,3.5,2.5
ACO1 Lithium 5-4 48,13,24,15,18.5,5.5,5.5,3.5
ACO1 Control 5-4 34,10,14,16,12.0,2.0,2.0,4.0
AO1 Control 5-4 31,4,14,13,9.0,5.0,5.0,4.0
nCO1 Control 5-4 34,16,29,22,22.5,6.5,6.5,0.5
CO1 Lithium 5-4 28,37,51,40,44.0,7.0,7.0,4.0
nCO1 Control 5-4 11,54,66,78,60.0,6.0,6.0,18.0
CO1 Lithium 5-4 2,40,49,50,44.5,4.5,4.5,5.5
nCO1 Lithium 5-4 29,56,62,60,59.0,3.0,3.0,1.0
CO1 Lithium 5-4 13,22,30,32,26.0,4.0,4.0,6.0
nCO1 Lithium 5-4 9,55,60,58,57.5,2.5,2.5,0.5
AO1 Control 5-4 33,19,23,25,21.0,2.0,2.0,4.0
nCO1 Control 5-4 38,36,47,46,41.5,5.5,5.5,4.5
AO1 Control 5-4 14,4,7,6,5.5,1.5,1.5,0.5
AO1 Control 5-4 25,8,11,13,9.5,1.5,1.5,3.5
nCO1 Control 5-4 10,43,51,56,47.0,4.0,4.0,9.0
AO1 Lithium 5-4 45,30,31,35,30.5,0.5,0.5,4.5
ACO1 Lithium 5-4 16,10,13,10,11.5,1.5,1.5,1.5
AO1 Lithium 5-4 11,7,11,9,9.0,2.0,2.0,0.0
nCO1 Control 5-4 18,54,62,55,58.0,4.0,4.0,3.0
ACO1 Lithium 5-4 39,4,4,3,4.0,0.0,0.0,1.0
CO1 Lithium 5-4 20,12,16,18,14.0,2.0,2.0,4.0
ACO1 Control 5-4 31,46,66,68,56.0,10.0,10.0,12.0
CO1 Lithium 5-4 17,39,55,51,47.0,8.0,8.0,4.0
ACO1 Lithium 5-4 22,9,11,10,10.0,1.0,1.0,0.0
nCO1 Lithium 5-4 24,26,34,30,30.0,4.0,4.0,0.0
AO1 Lithium 5-4 7,15,33,20,24.0,9.0,9.0,4.0
CO1 Lithium 5-4 5,52,60,57,56.0,4.0,4.0,1.0
nCO1 Control 5-4 6,20,37,30,28.5,8.5,8.5,1.5
CO1 Lithium 5-4 21,37,38,46,37.5,0.5,0.5,8.5
nCO1 Lithium 5-4 36,61,70,73,65.5,4.5,4.5,7.5
CO1 Control 5-4 21,28,34,36,31.0,3.0,3.0,5.0
nCO1 Lithium 5-4 44,58,57,55,57.5,0.5,0.5,2.5
CO1 Control 5-4 13,32,40,38,36.0,4.0,4.0,2.0
nCO1 Lithium 5-4 10,30,39,37,34.5,4.5,4.5,2.5
AO1 Control 5-4 45,13,17,16,15.0,2.0,2.0,1.0
AO1 Control 5-4 12,19,39,19,29.0,10.0,10.0,10.0
nCO1 Lithium 5-4 20,40,49,56,44.5,4.5,4.5,11.5
nCO1 Lithium 5-4 26,41,54,52,47.5,6.5,6.5,4.5
nCO1 Control 5-4 27,14,23,20,18.5,4.5,4.5,1.5
AO1 Control 5-4 8,17,18,22,17.5,0.5,0.5,4.5
CO1 Lithium 5-4 37,36,46,54,41.0,5.0,5.0,13.0
AO1 Lithium 5-4 31,10,13,10,11.5,1.5,1.5,1.5
nCO1 Control 5-4 2,21,25,26,23.0,2.0,2.0,3.0
CO1 Lithium 5-4 32,62,66,67,64.0,2.0,2.0,3.0
CO1 Lithium 5-4 36,9,18,14,13.5,4.5,4.5,0.5
AO1 Lithium 5-4 16,12,14,15,13.0,1.0,1.0,2.0
CO1 Lithium 5-4 1,16,25,26,20.5,4.5,4.5,5.5
CO1 Control 5-4 42,34,59,43,46.5,12.5,12.5,3.5
ACO1 Lithium 5-4 27,26,33,37,29.5,3.5,3.5,7.5
CO1 Control 5-4 26,51,67,70,59.0,8.0,8.0,11.0
ACO1 Control 5-4 32,20,21,19,20.5,0.5,0.5,1.5
CO1 Control 5-4 10,34,49,40,41.5,7.5,7.5,1.5
ACO1 Control 5-4 36,18,23,22,20.5,2.5,2.5,1.5
ACO1 Control 5-4 26,24,38,32,31.0,7.0,7.0,1.0
CO1 Control 5-4 6,20,25,29,22.5,2.5,2.5,6.5
nCO1 Lithium 5-4 11,39,55,49,47.0,8.0,8.0,2.0
AO1 Lithium 5-4 49,5,7,8,6.0,1.0,1.0,2.0
CO1 Lithium 5-4 11,33,37,41,35.0,2.0,2.0,6.0
ACO1 Lithium 5-4 42,24,32,25,28.0,4.0,4.0,3.0
nCO1 Lithium 5-4 14,52,59,63,55.5,3.5,3.5,7.5
nCO1 Lithium 5-4 18,22,26,22,24.0,2.0,2.0,2.0
CO1 Lithium 5-4 44,57,66,67,61.5,4.5,4.5,5.5
AO1 Control 5-4 40,5,8,7,6.5,1.5,1.5,0.5
AO1 Control 5-4 15,21,25,23,23.0,2.0,2.0,0.0
CO1 Control 5-4 31,42,51,47,46.5,4.5,4.5,0.5
AO1 Control 5-4 34,20,32,24,26.0,6.0,6.0,2.0
nCO1 Control 5-4 50,17,25,24,21.0,4.0,4.0,3.0
CO1 Lithium 5-4 12,57,62,69,59.5,2.5,2.5,9.5
CO1 Lithium 5-4 3,60,66,62,63.0,3.0,3.0,1.0
nCO1 Control 5-4 30,18,29,27,23.5,5.5,5.5,3.5
CO1 Control 5-4 40,41,54,54,47.5,6.5,6.5,6.5
nCO1 Control 5-4 42,34,45,45,39.5,5.5,5.5,5.5
AO1 Control 5-4 9,14,29,15,21.5,7.5,7.5,6.5
ACO1 Control 5-4 15,10,10,12,10.0,0.0,0.0,2.0
CO1 Lithium 5-4 45,31,42,44,36.5,5.5,5.5,7.5
CO1 Lithium 5-4 18,18,24,23,21.0,3.0,3.0,2.0
nCO1 Control 5-4 43,32,41,45,36.5,4.5,4.5,8.5
ACO1 Control 5-4 48,3,5,6,4.0,1.0,1.0,2.0
CO1 Control 5-4 33,36,44,41,40.0,4.0,4.0,1.0
CO1 Control 5-4 8,8,20,15,14.0,6.0,6.0,1.0
CO1 Control 5-4 12,32,41,40,36.5,4.5,4.5,3.5
ACO1 Lithium 5-4 21,2,2,3,2.0,0.0,0.0,1.0
nCO1 Control 5-4 40,27,45,36,36.0,9.0,9.0,0.0
AO1 Lithium 5-4 21,10,12,13,11.0,1.0,1.0,2.0
nCO1 Control 5-4 41,38,47,51,42.5,4.5,4.5,8.5
AO1 Control 5-4 5,6,6,5,6.0,0.0,0.0,1.0
CO1 Control 5-4 32,18,35,34,26.5,8.5,8.5,7.5
CO1 Control 5-4 30,25,27,29,26.0,1.0,1.0,3.0
nCO1 Lithium 5-4 41,18,31,30,24.5,6.5,6.5,5.5
AO1 Lithium 5-4 42,30,39,39,34.5,4.5,4.5,4.5
nCO1 Control 5-4 29,26,39,33,32.5,6.5,6.5,0.5
CO1 Lithium 5-4 31,56,68,63,62.0,6.0,6.0,1.0
CO1 Lithium 5-4 43,34,36,39,35.0,1.0,1.0,4.0
AO1 Control 5-4 47,16,25,24,20.5,4.5,4.5,3.5
ACO1 Control 5-4 20,4,9,8,6.5,2.5,2.5,1.5
CO1 Lithium 5-4 29,61,69,68,65.0,4.0,4.0,3.0
CO1 Control 5-4 49,9,30,21,19.5,10.5,10.5,1.5
CO1 Lithium 5-4 8,14,19,20,16.5,2.5,2.5,3.5
AO1 Lithium 5-4 38,7,8,7,7.5,0.5,0.5,0.5
nCO1 Lithium 5-4 13,32,51,34,41.5,9.5,9.5,7.5
nCO1 Lithium 5-4 19,14,19,21,16.5,2.5,2.5,4.5
nCO1 Control 5-4 13,30,42,38,36.0,6.0,6.0,2.0
AO1 Control 5-4 29,21,43,16,32.0,11.0,11.0,16.0
nCO1 Control 5-4 20,46,51,57,48.5,2.5,2.5,8.5
ACO1 Control 5-4 7,6,16,7,11.0,5.0,5.0,4.0
nCO1 Lithium 5-4 27,44,52,56,48.0,4.0,4.0,8.0
CO1 Lithium 5-4 38,40,45,47,42.5,2.5,2.5,4.5
AO1 Control 5-4 6,30,47,36,38.5,8.5,8.5,2.5
nCO1 Lithium 5-4 23,55,68,72,61.5,6.5,6.5,10.5
CO1 Lithium 5-4 26,32,53,47,42.5,10.5,10.5,4.5
nCO1 Lithium 5-4 25,46,50,52,48.0,2.0,2.0,4.0
CO1 Control 5-4 46,15,29,30,22.0,7.0,7.0,8.0
CO1 Control 5-4 35,35,47,45,41.0,6.0,6.0,4.0
ACO1 Control 5-4 46,6,21,19,13.5,7.5,7.5,5.5
CO1 Control 5-4 47,35,45,50,40.0,5.0,5.0,10.0
CO1 Control 5-4 38,31,50,44,40.5,9.5,9.5,3.5
nCO1 Control 5-4 23,46,59,63,52.5,6.5,6.5,10.5
CO1 Control 5-4 27,12,24,22,18.0,6.0,6.0,4.0
ACO1 Lithium 5-4 45,19,24,24,21.5,2.5,2.5,2.5
nCO1 Lithium 5-4 6,36,43,37,39.5,3.5,3.5,2.5
nCO1 Lithium 5-4 47,20,27,30,23.5,3.5,3.5,6.5
CO1 Control 5-4 37,21,38,30,29.5,8.5,8.5,0.5
ACO1 Control 5-4 9,3,7,6,5.0,2.0,2.0,1.0
ACO1 Control 5-4 35,5,11,10,8.0,3.0,3.0,2.0
nCO1 Lithium 5-4 46,48,64,64,56.0,8.0,8.0,8.0
AO1 Lithium 5-4 50,0,1,2,0.5,0.5,0.5,1.5
ACO1 Control 5-4 42,6,17,10,11.5,5.5,5.5,1.5
CO1 Control 5-4 50,19,28,32,23.5,4.5,4.5,8.5
nCO1 Control 5-4 22,33,50,56,41.5,8.5,8.5,14.5
nCO1 Lithium 5-4 42,49,60,61,54.5,5.5,5.5,6.5
CO1 Control 5-4 9,44,45,49,44.5,0.5,0.5,4.5
ACO1 Control 5-4 17,3,3,4,3.0,0.0,0.0,1.0
CO1 Lithium 5-4 50,29,30,34,29.5,0.5,0.5,4.5
ACO1 Control 5-4 11,10,14,13,12.0,2.0,2.0,1.0
nCO1 Control 5-4 31,17,41,32,29.0,12.0,12.0,3.0
ACO1 Lithium 5-4 41,11,15,15,13.0,2.0,2.0,2.0
AO1 Lithium 5-4 12,6,12,12,9.0,3.0,3.0,3.0
nCO1 Control 5-4 7,8,20,15,14.0,6.0,6.0,1.0
nCO1 Control 5-4 33,57,73,80,65.0,8.0,8.0,15.0
CO1 Control 5-4 20,34,53,50,43.5,9.5,9.5,6.5
CO1 Lithium 5-4 7,34,42,43,38.0,4.0,4.0,5.0
AO1 Control 5-4 16,16,30,18,23.0,7.0,7.0,5.0
nCO1 Control 5-4 17,42,51,44,46.5,4.5,4.5,2.5
CO1 Control 5-4 39,31,40,37,35.5,4.5,4.5,1.5
nCO1 Control 5-4 25,26,37,37,31.5,5.5,5.5,5.5
AO1 Lithium 5-4 9,14,23,15,18.5,4.5,4.5,3.5
AO1 Control 5-4 39,8,19,7,13.5,5.5,5.5,6.5
ACO1 Control 5-4 18,3,16,6,9.5,6.5,6.5,3.5
nCO1 Lithium 5-4 40,38,49,44,43.5,5.5,5.5,0.5
ACO1 Lithium 5-4 13,18,39,23,28.5,10.5,10.5,5.5
