RootImage,FileName,PrimaryFileName,SecondaryFileName,PrimaryCount,SecondaryCount,BotCount,Mean,PrimaryDiff,SecondaryDiff,BotDiff
CO1 Control 5-1 34,CO1 Control 5-1 34 pt73.jpg,eggs3countCO1 Control 5-1 34 pt73.jpg,eggs1countCO1 Control 5-1 34 pt73.jpg,3,1,3,2.0,1.0,1.0,1.0
NCO1 Lithium 5-1 17,NCO1 Lithium 5-1 17 pt44.jpg,eggs1countNCO1 Lithium 5-1 17 pt44.jpg,eggs1countNCO1 Lithium 5-1 17 pt44.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 37,CO1 Lithium 5-1 37 pt36.jpg,eggs4countCO1 Lithium 5-1 37 pt36.jpg,eggs4countCO1 Lithium 5-1 37 pt36.jpg,4,4,5,4.0,0.0,0.0,1.0
NCO1 Lithium 5-1 31,NCO1 Lithium 5-1 31 pt18.jpg,eggs5countNCO1 Lithium 5-1 31 pt18.jpg,eggs5countNCO1 Lithium 5-1 31 pt18.jpg,5,5,4,5.0,0.0,0.0,1.0
NCO1 Control 5-1 46,NCO1 Control 5-1 46 pt84.jpg,eggs1countNCO1 Control 5-1 46 pt84.jpg,eggs1countNCO1 Control 5-1 46 pt84.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 17,NCO1 Control 5-1 17 pt69.jpg,eggs4countNCO1 Control 5-1 17 pt69.jpg,eggs3countNCO1 Control 5-1 17 pt69.jpg,4,3,6,3.5,0.5,0.5,2.5
CO1 Lithium 5-1 4,CO1 Lithium 5-1 4 pt84.jpg,eggs6countCO1 Lithium 5-1 4 pt84.jpg,eggs4countCO1 Lithium 5-1 4 pt84.jpg,6,4,6,5.0,1.0,1.0,1.0
CO1 Lithium 5-1 46,CO1 Lithium 5-1 46 pt75.jpg,eggs6countCO1 Lithium 5-1 46 pt75.jpg,eggs5countCO1 Lithium 5-1 46 pt75.jpg,6,5,6,5.5,0.5,0.5,0.5
CO1 Control 5-1 26,CO1 Control 5-1 26 pt15.jpg,eggs5countCO1 Control 5-1 26 pt15.jpg,eggs5countCO1 Control 5-1 26 pt15.jpg,5,5,4,5.0,0.0,0.0,1.0
NCO1 Lithium 5-1 26,NCO1 Lithium 5-1 26 pt15.jpg,eggs5countNCO1 Lithium 5-1 26 pt15.jpg,eggs5countNCO1 Lithium 5-1 26 pt15.jpg,5,5,6,5.0,0.0,0.0,1.0
CO1 Lithium 5-1 22,CO1 Lithium 5-1 22 pt75.jpg,eggs9countCO1 Lithium 5-1 22 pt75.jpg,eggs8countCO1 Lithium 5-1 22 pt75.jpg,9,8,14,8.5,0.5,0.5,5.5
CO1 Lithium 5-1 23,CO1 Lithium 5-1 23 pt27.jpg,eggs1countCO1 Lithium 5-1 23 pt27.jpg,eggs1countCO1 Lithium 5-1 23 pt27.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 14,NCO1 Lithium 5-1 14 pt83.jpg,eggs3countNCO1 Lithium 5-1 14 pt83.jpg,eggs2countNCO1 Lithium 5-1 14 pt83.jpg,3,2,2,2.5,0.5,0.5,0.5
CO1 Lithium 5-1 47,CO1 Lithium 5-1 47 pt23.jpg,eggs2countCO1 Lithium 5-1 47 pt23.jpg,eggs1countCO1 Lithium 5-1 47 pt23.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Control 5-1 49,CO1 Control 5-1 49 pt47.jpg,eggs2countCO1 Control 5-1 49 pt47.jpg,eggs1countCO1 Control 5-1 49 pt47.jpg,2,1,1,1.5,0.5,0.5,0.5
CO1 Lithium 5-1 7,CO1 Lithium 5-1 7 pt43.jpg,eggs4countCO1 Lithium 5-1 7 pt43.jpg,eggs2countCO1 Lithium 5-1 7 pt43.jpg,4,2,3,3.0,1.0,1.0,0.0
