RootImage,BotSum,HumanSum
CO1 Lithium 5-4 37,109,88
CO1 Lithium 5-4 35,70,86
ACO1 Lithium 5-4 44,89,80
CO1 Control 5-4 47,80,66
ACO1 Lithium 5-4 26,10,4
nCO1 Lithium 5-4 39,53,63
AO1 Lithium 5-4 30,33,41
CO1 Control 5-4 3,48,51
nCO1 Control 5-4 3,7,2
nCO1 Lithium 5-4 27,80,71
AO1 Lithium 5-4 36,33,10
AO1 Lithium 5-4 19,0,0
ACO1 Control 5-4 13,53,30
AO1 Control 5-4 34,56,55
CO1 Control 5-4 46,62,56
ACO1 Lithium 5-4 3,33,38
AO1 Control 5-4 41,21,28
AO1 Lithium 5-4 4,0,0
AO1 Control 5-4 43,19,28
ACO1 Lithium 5-4 27,57,49
AO1 Control 5-4 18,8,5
CO1 Lithium 5-4 11,86,79
nCO1 Control 5-4 38,91,91
CO1 Control 5-4 36,92,76
AO1 Control 5-4 6,64,67
AO1 Lithium 5-4 8,0,9
ACO1 Lithium 5-4 5,0,0
ACO1 Control 5-4 12,5,5
ACO1 Lithium 5-4 49,0,0
CO1 Lithium 5-4 13,73,62
nCO1 Control 5-4 2,83,87
CO1 Control 5-4 34,27,37
CO1 Lithium 5-4 7,66,59
AO1 Lithium 5-4 18,7,4
CO1 Lithium 5-4 36,42,30
nCO1 Lithium 5-4 23,124,112
ACO1 Control 5-4 17,8,5
CO1 Lithium 5-4 34,31,25
AO1 Control 5-4 19,0,0
CO1 Lithium 5-4 5,94,92
AO1 Lithium 5-4 31,21,19
nCO1 Control 5-4 13,76,66
CO1 Lithium 5-4 1,59,38
AO1 Lithium 5-4 9,25,31
nCO1 Control 5-4 17,89,88
nCO1 Lithium 5-4 50,106,94
nCO1 Control 5-4 39,66,49
ACO1 Lithium 5-4 2,4,1
AO1 Control 5-4 9,27,37
nCO1 Control 5-4 12,67,52
AO1 Control 5-4 40,13,11
AO1 Control 5-4 42,32,22
CO1 Control 5-4 35,82,77
AO1 Control 5-4 7,30,15
CO1 Lithium 5-4 45,94,89
AO1 Control 5-4 32,2,11
ACO1 Lithium 5-4 38,2,0
nCO1 Lithium 5-4 10,109,109
AO1 Lithium 5-4 42,62,49
ACO1 Control 5-4 48,23,19
nCO1 Control 5-4 50,65,45
ACO1 Lithium 5-4 48,29,36
nCO1 Lithium 5-4 15,86,89
AO1 Lithium 5-4 32,0,0
CO1 Control 5-4 45,92,81
nCO1 Control 5-4 25,74,67
ACO1 Lithium 5-4 11,53,45
CO1 Control 5-4 29,84,82
nCO1 Lithium 5-4 28,90,84
AO1 Lithium 5-4 41,9,4
CO1 Lithium 5-4 28,72,76
CO1 Control 5-4 32,64,51
ACO1 Control 5-4 49,19,9
AO1 Lithium 5-4 43,43,49
nCO1 Lithium 5-4 6,89,90
ACO1 Control 5-4 25,30,24
ACO1 Lithium 5-4 39,12,10
AO1 Lithium 5-4 33,40,49
nCO1 Control 5-4 4,2,0
CO1 Lithium 5-4 32,96,82
CO1 Control 5-4 28,50,50
nCO1 Control 5-4 48,2,0
ACO1 Lithium 5-4 1,27,13
ACO1 Lithium 5-4 10,0,0
nCO1 Lithium 5-4 38,81,84
ACO1 Control 5-4 9,20,14
AO1 Control 5-4 13,38,36
AO1 Lithium 5-4 22,13,17
AO1 Control 5-4 33,46,36
nCO1 Lithium 5-4 11,102,92
ACO1 Control 5-4 36,43,36
nCO1 Control 5-4 49,0,0
AO1 Lithium 5-4 40,0,9
CO1 Control 5-4 49,59,47
ACO1 Control 5-4 24,21,16
nCO1 Control 5-4 28,0,0
AO1 Control 5-4 5,9,9
nCO1 Control 5-4 42,97,79
nCO1 Control 5-4 1,0,0
CO1 Control 5-4 37,46,52
ACO1 Control 5-4 31,96,92
CO1 Lithium 5-4 18,47,34
ACO1 Control 5-4 26,62,54
AO1 Control 5-4 30,4,18
