FileName,MarvinFileName,AlexFileName,AlexCount,MarvinCount,Mean,Difference
CO1 Control 5-4 34 pt47.jpg,eggs1countCO1 Control 5-4 34 pt47.jpg,eggs0countCO1 Control 5-4 34 pt47.jpg,0,1,0.5,1
CO1 Control 5-4 45 pt55.jpg,eggs1countCO1 Control 5-4 45 pt55.jpg,eggs0countCO1 Control 5-4 45 pt55.jpg,0,1,0.5,1
ACO1 Lithium 5-4 6 pt29.jpg,eggs1countACO1 Lithium 5-4 6 pt29.jpg,eggs1countACO1 Lithium 5-4 6 pt29.jpg,1,1,1.0,0
CO1 Lithium 5-4 35 pt14.jpg,eggs9countCO1 Lithium 5-4 35 pt14.jpg,eggs0countCO1 Lithium 5-4 35 pt14.jpg,0,9,4.5,9
ACO1 Control 5-4 21 pt55.jpg,eggs1countACO1 Control 5-4 21 pt55.jpg,eggs1countACO1 Control 5-4 21 pt55.jpg,1,1,1.0,0
nCO1 Control 5-4 44 pt77.jpg,eggs4countnCO1 Control 5-4 44 pt77.jpg,eggs4countnCO1 Control 5-4 44 pt77.jpg,4,4,4.0,0
nCO1 Lithium 5-4 50 pt67.jpg,eggs2countnCO1 Lithium 5-4 50 pt67.jpg,eggs0countnCO1 Lithium 5-4 50 pt67.jpg,0,2,1.0,2
CO1 Control 5-4 15 pt23.jpg,eggs4countCO1 Control 5-4 15 pt23.jpg,eggs3countCO1 Control 5-4 15 pt23.jpg,3,4,3.5,1
CO1 Control 5-4 29 pt88.jpg,eggs1countCO1 Control 5-4 29 pt88.jpg,eggs1countCO1 Control 5-4 29 pt88.jpg,1,1,1.0,0
AO1 Lithium 5-4 33 pt76.jpg,eggs1countAO1 Lithium 5-4 33 pt76.jpg,eggs0countAO1 Lithium 5-4 33 pt76.jpg,0,1,0.5,1
CO1 Lithium 5-4 47 pt56.jpg,eggs2countCO1 Lithium 5-4 47 pt56.jpg,eggs2countCO1 Lithium 5-4 47 pt56.jpg,2,2,2.0,0
AO1 Lithium 5-4 30 pt28.jpg,eggs4countAO1 Lithium 5-4 30 pt28.jpg,eggs3countAO1 Lithium 5-4 30 pt28.jpg,3,4,3.5,1
CO1 Control 5-4 15 pt34.jpg,eggs4countCO1 Control 5-4 15 pt34.jpg,eggs4countCO1 Control 5-4 15 pt34.jpg,4,4,4.0,0
ACO1 Lithium 5-4 48 pt56.jpg,eggs1countACO1 Lithium 5-4 48 pt56.jpg,eggs1countACO1 Lithium 5-4 48 pt56.jpg,1,1,1.0,0
ACO1 Control 5-4 34 pt45.jpg,eggs1countACO1 Control 5-4 34 pt45.jpg,eggs1countACO1 Control 5-4 34 pt45.jpg,1,1,1.0,0
AO1 Control 5-4 31 pt69.jpg,eggs1countAO1 Control 5-4 31 pt69.jpg,eggs0countAO1 Control 5-4 31 pt69.jpg,0,1,0.5,1
nCO1 Control 5-4 34 pt84.jpg,eggs2countnCO1 Control 5-4 34 pt84.jpg,eggs0countnCO1 Control 5-4 34 pt84.jpg,0,2,1.0,2
CO1 Lithium 5-4 28 pt43.jpg,eggs2countCO1 Lithium 5-4 28 pt43.jpg,eggs2countCO1 Lithium 5-4 28 pt43.jpg,2,2,2.0,0
nCO1 Control 5-4 11 pt38.jpg,eggs3countnCO1 Control 5-4 11 pt38.jpg,eggs3countnCO1 Control 5-4 11 pt38.jpg,3,3,3.0,0
CO1 Lithium 5-4 2 pt68.jpg,eggs1countCO1 Lithium 5-4 2 pt68.jpg,eggs1countCO1 Lithium 5-4 2 pt68.jpg,1,1,1.0,0
nCO1 Lithium 5-4 29 pt79.jpg,eggs1countnCO1 Lithium 5-4 29 pt79.jpg,eggs1countnCO1 Lithium 5-4 29 pt79.jpg,1,1,1.0,0
CO1 Lithium 5-4 13 pt63.jpg,eggs2countCO1 Lithium 5-4 13 pt63.jpg,eggs2countCO1 Lithium 5-4 13 pt63.jpg,2,2,2.0,0
nCO1 Lithium 5-4 9 pt60.jpg,eggs2countnCO1 Lithium 5-4 9 pt60.jpg,eggs1countnCO1 Lithium 5-4 9 pt60.jpg,1,2,1.5,1
AO1 Control 5-4 33 pt63.jpg,eggs1countAO1 Control 5-4 33 pt63.jpg,eggs1countAO1 Control 5-4 33 pt63.jpg,1,1,1.0,0
CO1 Control 5-4 26 pt64.jpg,eggs4countCO1 Control 5-4 26 pt64.jpg,eggs2countCO1 Control 5-4 26 pt64.jpg,2,4,3.0,2
nCO1 Control 5-4 38 pt25.jpg,eggs2countnCO1 Control 5-4 38 pt25.jpg,eggs2countnCO1 Control 5-4 38 pt25.jpg,2,2,2.0,0
AO1 Control 5-4 14 pt5.jpg,eggs1countAO1 Control 5-4 14 pt5.jpg,eggs0countAO1 Control 5-4 14 pt5.jpg,0,1,0.5,1
ACO1 Control 5-4 32 pt39.jpg,eggs1countACO1 Control 5-4 32 pt39.jpg,eggs0countACO1 Control 5-4 32 pt39.jpg,0,1,0.5,1
CO1 Control 5-4 15 pt62.jpg,eggs2countCO1 Control 5-4 15 pt62.jpg,eggs1countCO1 Control 5-4 15 pt62.jpg,1,2,1.5,1
AO1 Control 5-4 25 pt27.jpg,eggs1countAO1 Control 5-4 25 pt27.jpg,eggs1countAO1 Control 5-4 25 pt27.jpg,1,1,1.0,0
nCO1 Control 5-4 10 pt87.jpg,eggs3countnCO1 Control 5-4 10 pt87.jpg,eggs3countnCO1 Control 5-4 10 pt87.jpg,3,3,3.0,0
AO1 Lithium 5-4 45 pt87.jpg,eggs1countAO1 Lithium 5-4 45 pt87.jpg,eggs1countAO1 Lithium 5-4 45 pt87.jpg,1,1,1.0,0
ACO1 Lithium 5-4 16 pt34.jpg,eggs1countACO1 Lithium 5-4 16 pt34.jpg,eggs1countACO1 Lithium 5-4 16 pt34.jpg,1,1,1.0,0
AO1 Lithium 5-4 11 pt48.jpg,eggs1countAO1 Lithium 5-4 11 pt48.jpg,eggs1countAO1 Lithium 5-4 11 pt48.jpg,1,1,1.0,0
nCO1 Control 5-4 18 pt78.jpg,eggs2countnCO1 Control 5-4 18 pt78.jpg,eggs1countnCO1 Control 5-4 18 pt78.jpg,1,2,1.5,1
ACO1 Lithium 5-4 39 pt78.jpg,eggs1countACO1 Lithium 5-4 39 pt78.jpg,eggs1countACO1 Lithium 5-4 39 pt78.jpg,1,1,1.0,0
CO1 Lithium 5-4 20 pt44.jpg,eggs2countCO1 Lithium 5-4 20 pt44.jpg,eggs1countCO1 Lithium 5-4 20 pt44.jpg,1,2,1.5,1
ACO1 Control 5-4 31 pt54.jpg,eggs2countACO1 Control 5-4 31 pt54.jpg,eggs0countACO1 Control 5-4 31 pt54.jpg,0,2,1.0,2
CO1 Lithium 5-4 17 pt35.jpg,eggs2countCO1 Lithium 5-4 17 pt35.jpg,eggs2countCO1 Lithium 5-4 17 pt35.jpg,2,2,2.0,0
ACO1 Lithium 5-4 22 pt66.jpg,eggs1countACO1 Lithium 5-4 22 pt66.jpg,eggs0countACO1 Lithium 5-4 22 pt66.jpg,0,1,0.5,1
nCO1 Lithium 5-4 24 pt26.jpg,eggs1countnCO1 Lithium 5-4 24 pt26.jpg,eggs1countnCO1 Lithium 5-4 24 pt26.jpg,1,1,1.0,0
AO1 Lithium 5-4 7 pt38.jpg,eggs1countAO1 Lithium 5-4 7 pt38.jpg,eggs1countAO1 Lithium 5-4 7 pt38.jpg,1,1,1.0,0
CO1 Lithium 5-4 5 pt76.jpg,eggs3countCO1 Lithium 5-4 5 pt76.jpg,eggs2countCO1 Lithium 5-4 5 pt76.jpg,2,3,2.5,1
nCO1 Control 5-4 34 pt86.jpg,eggs5countnCO1 Control 5-4 34 pt86.jpg,eggs2countnCO1 Control 5-4 34 pt86.jpg,2,5,3.5,3
