RootImage,BotSum,HumanSum
C1 46,15,18
C1 47,9,12
C1 19,3,6
C1 48,23,20
C1 43,15,18
C1 39,9,12
C1 21,10,9
C1 12,11,6
C1 28,15,18
C1 17,22,27
C1 18,12,25
C1 25,7,13
C1 33,3,7
C1 10,18,25
C1 37,13,12
C1 26,22,24
C1 7,21,22
C1 6,30,30
C1 51,5,7
C1 9,4,14
C1 58,5,3
C1 23,14,14
C1 11,11,21
C1 14,8,14
C1 57,21,27
C1 5,17,21
C1 53,15,24
C1 1,8,8
C1 15,9,12
C1 41,12,15
C1 36,3,12
C1 30,11,12
C1 44,13,21
C1 38,30,36
C1 27,10,21
C1 55,19,18
C1 32,8,17
C1 60,19,22
C1 8,9,13
C1 29,28,20
C1 13,23,19
C1 52,17,19
C1 59,11,36
C1 31,14,14
C1 3,21,27
C1 2,7,9
C1 50,5,11
C1 35,4,6
C1 4,8,12
C1 56,6,5
C1 16,3,5
C1 45,11,17
C1 34,21,21
C1 20,4,8
C1 42,17,22
C1 22,21,14
C1 54,9,4
C1 24,7,21
C1 49,15,15
C1 40,12,13
