Image,Part,Count,Whitespace
ACO4 Control 5-7 3,62,0,False
ACO4 Control 5-7 8,66,0,False
ACO4 Control 5-7 9,88,6,False
ACO4 Control 5-7 39,28,9,False
ACO4 Control 5-7 39,69,7,False
ACO4 Control 5-7 44,5,0,False
ACO4 Control 5-7 48,46,5,False
ACO4 Lithium 5-7  44,41,2,False
ACO4 Lithium 5-7  45,15,8,False
ACO4 Lithium 5-7  45,16,8,False
ACO4 Lithium 5-7  48,46,3,False
AO4 Control 5-7 4,95,1,False
AO4 Control 5-7 20,15,7,False
AO4 Control 5-7 22,26,5,False
AO4 Control 5-7 35,16,7,False
AO4 Lithium 5-7 1,68,7,False
AO4 Lithium 5-7 17,78,7,False
AO4 Lithium 5-7 28,28,6,False
AO4 Lithium 5-7 37,37,8,False
AO4 Lithium 5-7 43,13,0,False
CO4 Control 5-7 3,16,9,False
CO4 Control 5-7 3,17,12,False
CO4 Control 5-7 3,25,6,False
CO4 Control 5-7 3,26,8,False
CO4 Control 5-7 3,36,4,False
CO4 Control 5-7 5,28,6,False
CO4 Control 5-7 7,14,6,False
CO4 Control 5-7 7,15,11,False
CO4 Control 5-7 7,17,5,False
CO4 Control 5-7 7,24,6,False
CO4 Control 5-7 7,26,5,False
CO4 Control 5-7 7,28,7,False
CO4 Control 5-7 7,37,6,False
CO4 Control 5-7 7,38,4,False
CO4 Control 5-7 7,45,6,False
CO4 Control 5-7 9,44,6,False
CO4 Control 5-7 12,75,6,False
CO4 Control 5-7 12,77,8,False
CO4 Control 5-7 14,15,7,False
CO4 Control 5-7 14,24,6,False
CO4 Control 5-7 14,38,8,False
CO4 Control 5-7 14,58,6,False
CO4 Control 5-7 14,59,6,False
CO4 Control 5-7 14,78,8,False
CO4 Control 5-7 15,42,11,False
CO4 Control 5-7 15,62,4,False
CO4 Control 5-7 16,47,6,False
CO4 Control 5-7 16,65,4,False
CO4 Control 5-7 19,28,6,False
CO4 Control 5-7 24,49,6,False
CO4 Control 5-7 24,75,0,False
CO4 Control 5-7 24,85,2,False
CO4 Control 5-7 27,17,5,False
CO4 Control 5-7 27,28,6,False
CO4 Control 5-7 27,69,10,False
CO4 Control 5-7 30,79,13,False
CO4 Control 5-7 30,85,6,False
CO4 Control 5-7 30,87,6,False
CO4 Control 5-7 32,7,9,False
CO4 Control 5-7 33,78,10,False
CO4 Control 5-7 33,85,9,False
CO4 Control 5-7 33,86,7,False
CO4 Control 5-7 34,42,15,False
CO4 Control 5-7 36,55,5,False
CO4 Control 5-7 36,76,11,False
CO4 Control 5-7 37,5,7,False
CO4 Control 5-7 38,69,9,False
CO4 Control 5-7 41,58,8,False
CO4 Control 5-7 43,49,7,False
CO4 Control 5-7 43,77,6,False
CO4 Control 5-7 43,78,6,False
CO4 Control 5-7 43,84,6,False
CO4 Control 5-7 45,32,11,False
CO4 Control 5-7 45,42,7,False
CO4 Control 5-7 46,17,12,False
CO4 Control 5-7 47,41,5,False
CO4 Control 5-7 47,42,7,False
CO4 Control 5-7 47,52,10,False
CO4 Control 5-7 48,46,0,False
CO4 Control 5-7 48,47,0,False
CO4 Control 5-7 48,75,3,False
CO4 Control 5-7 48,86,8,False
CO4 Control 5-7 49,13,12,False
CO4 Control 5-7 49,85,4,False
CO4 Control 5-7 50,32,16,False
CO4 Control 5-7 50,33,15,False
CO4 Control 5-7 50,65,4,False
CO4 Lithium 5-7 1,35,5,False
CO4 Lithium 5-7 1,38,6,False
CO4 Lithium 5-7 1,47,7,False
CO4 Lithium 5-7 1,55,5,False
CO4 Lithium 5-7 1,78,7,False
CO4 Lithium 5-7 2,18,5,False
CO4 Lithium 5-7 2,73,8,False
CO4 Lithium 5-7 3,16,5,False
CO4 Lithium 5-7 4,23,9,False
CO4 Lithium 5-7 4,24,16,False
CO4 Lithium 5-7 5,17,9,False
CO4 Lithium 5-7 5,23,7,False
CO4 Lithium 5-7 8,14,10,False
CO4 Lithium 5-7 14,16,8,False
CO4 Lithium 5-7 14,23,9,False
CO4 Lithium 5-7 14,25,7,False
CO4 Lithium 5-7 15,39,8,False
CO4 Lithium 5-7 15,49,6,False
CO4 Lithium 5-7 15,59,10,False
CO4 Lithium 5-7 16,4,12,False
CO4 Lithium 5-7 16,13,5,False
CO4 Lithium 5-7 16,14,6,False
CO4 Lithium 5-7 16,15,4,False
CO4 Lithium 5-7 16,18,4,False
CO4 Lithium 5-7 16,42,6,False
CO4 Lithium 5-7 18,17,13,False
CO4 Lithium 5-7 19,13,7,False
CO4 Lithium 5-7 19,17,6,False
CO4 Lithium 5-7 22,5,6,False
CO4 Lithium 5-7 22,28,7,False
CO4 Lithium 5-7 23,38,4,False
CO4 Lithium 5-7 23,48,5,False
CO4 Lithium 5-7 23,49,8,False
CO4 Lithium 5-7 25,83,7,False
CO4 Lithium 5-7 26,58,4,False
CO4 Lithium 5-7 26,69,6,False
CO4 Lithium 5-7 26,86,7,False
CO4 Lithium 5-7 28,6,4,False
CO4 Lithium 5-7 28,16,2,False
CO4 Lithium 5-7 28,17,4,False
CO4 Lithium 5-7 28,33,7,False
CO4 Lithium 5-7 31,4,11,False
CO4 Lithium 5-7 31,5,14,False
CO4 Lithium 5-7 31,6,8,False
CO4 Lithium 5-7 31,18,13,False
CO4 Lithium 5-7 31,45,7,False
CO4 Lithium 5-7 32,29,12,False
CO4 Lithium 5-7 32,59,6,False
CO4 Lithium 5-7 35,15,15,False
CO4 Lithium 5-7 35,17,17,False
CO4 Lithium 5-7 35,23,10,False
CO4 Lithium 5-7 35,28,10,False
CO4 Lithium 5-7 35,29,9,False
CO4 Lithium 5-7 35,39,5,False
CO4 Lithium 5-7 35,69,5,False
CO4 Lithium 5-7 36,4,9,False
CO4 Lithium 5-7 36,13,6,False
CO4 Lithium 5-7 36,14,6,False
CO4 Lithium 5-7 36,56,0,False
CO4 Lithium 5-7 37,5,7,False
CO4 Lithium 5-7 37,6,5,False
CO4 Lithium 5-7 37,13,7,False
CO4 Lithium 5-7 37,17,8,False
CO4 Lithium 5-7 37,18,9,False
CO4 Lithium 5-7 37,29,6,False
CO4 Lithium 5-7 41,45,7,False
CO4 Lithium 5-7 41,47,7,False
CO4 Lithium 5-7 41,54,4,False
CO4 Lithium 5-7 41,66,5,False
CO4 Lithium 5-7 41,76,5,False
CO4 Lithium 5-7 41,77,4,False
CO4 Lithium 5-7 43,84,9,False
CO4 Lithium 5-7 44,58,4,False
CO4 Lithium 5-7 44,62,6,False
CO4 Lithium 5-7 44,63,6,False
CO4 Lithium 5-7 44,85,6,False
CO4 Lithium 5-7 46,74,11,False
CO4 Lithium 5-7 46,77,7,False
CO4 Lithium 5-7 46,84,7,False
CO4 Lithium 5-7 46,85,6,False
CO4 Lithium 5-7 46,86,6,False
CO4 Lithium 5-7 50,23,5,False
CO4 Lithium 5-7 50,24,11,False
CO4 Lithium 5-7 50,35,4,False
CO4 Lithium 5-7 50,43,5,False
CO4 Lithium 5-7 50,53,4,False
CO4 Lithium 5-7 50,54,8,False
NCO4 Control 5-7 1,74,5,False
NCO4 Control 5-7 2,78,8,False
NCO4 Control 5-7 4,26,10,False
NCO4 Control 5-7 4,28,7,False
NCO4 Control 5-7 4,54,6,False
NCO4 Control 5-7 4,57,6,False
NCO4 Control 5-7 4,79,12,False
NCO4 Control 5-7 5,38,5,False
NCO4 Control 5-7 6,74,6,False
NCO4 Control 5-7 6,76,9,False
NCO4 Control 5-7 7,75,11,False
NCO4 Control 5-7 7,76,6,False
NCO4 Control 5-7 9,76,5,False
NCO4 Control 5-7 11,15,5,False
NCO4 Control 5-7 11,16,6,False
NCO4 Control 5-7 12,45,9,False
NCO4 Control 5-7 12,58,9,False
NCO4 Control 5-7 13,55,7,False
NCO4 Control 5-7 15,49,7,False
NCO4 Control 5-7 15,67,6,False
NCO4 Control 5-7 16,38,6,False
NCO4 Control 5-7 16,49,8,False
NCO4 Control 5-7 16,57,7,False
NCO4 Control 5-7 16,58,11,False
NCO4 Control 5-7 16,59,7,False
NCO4 Control 5-7 16,68,8,False
NCO4 Control 5-7 20,48,12,False
NCO4 Control 5-7 20,65,5,False
NCO4 Control 5-7 20,75,12,False
NCO4 Control 5-7 20,76,12,False
NCO4 Control 5-7 20,77,8,False
NCO4 Control 5-7 21,64,8,False
NCO4 Control 5-7 22,25,6,False
NCO4 Control 5-7 22,41,7,False
NCO4 Control 5-7 23,14,7,False
NCO4 Control 5-7 23,23,6,False
NCO4 Control 5-7 23,24,8,False
NCO4 Control 5-7 23,33,14,False
NCO4 Control 5-7 23,34,10,False
NCO4 Control 5-7 25,32,6,False
NCO4 Control 5-7 26,15,5,False
NCO4 Control 5-7 26,29,6,False
NCO4 Control 5-7 26,76,7,False
NCO4 Control 5-7 26,77,13,False
NCO4 Control 5-7 27,16,6,False
NCO4 Control 5-7 27,42,5,False
NCO4 Control 5-7 27,77,7,False
NCO4 Control 5-7 28,33,17,False
NCO4 Control 5-7 29,17,5,False
NCO4 Control 5-7 31,75,7,False
NCO4 Control 5-7 32,28,6,False
NCO4 Control 5-7 32,75,8,False
NCO4 Control 5-7 33,59,9,False
NCO4 Control 5-7 33,78,8,False
NCO4 Control 5-7 34,24,7,False
NCO4 Control 5-7 34,26,11,False
NCO4 Control 5-7 34,38,7,False
NCO4 Control 5-7 34,69,17,False
NCO4 Control 5-7 35,46,10,False
NCO4 Control 5-7 35,66,8,False
NCO4 Control 5-7 39,16,10,False
NCO4 Control 5-7 39,28,12,False
NCO4 Control 5-7 40,79,14,False
NCO4 Control 5-7 44,27,13,False
NCO4 Control 5-7 45,23,14,False
NCO4 Control 5-7 45,28,10,False
NCO4 Control 5-7 45,33,8,False
NCO4 Control 5-7 45,38,14,False
NCO4 Control 5-7 48,83,7,False
NCO4 Control 5-7 48,85,6,False
NCO4 Control 5-7 49,15,10,False
nCO4 Lithium 5-7 1,63,7,False
nCO4 Lithium 5-7 1,68,9,False
nCO4 Lithium 5-7 2,16,8,False
nCO4 Lithium 5-7 2,17,4,False
nCO4 Lithium 5-7 2,39,5,False
nCO4 Lithium 5-7 2,49,7,False
nCO4 Lithium 5-7 3,14,4,False
nCO4 Lithium 5-7 3,15,5,False
nCO4 Lithium 5-7 3,16,5,False
nCO4 Lithium 5-7 3,23,4,False
nCO4 Lithium 5-7 3,27,5,False
nCO4 Lithium 5-7 3,33,6,False
nCO4 Lithium 5-7 3,44,6,False
nCO4 Lithium 5-7 3,45,5,False
nCO4 Lithium 5-7 3,55,4,False
nCO4 Lithium 5-7 3,57,4,False
