Image,Part,Count,Whitespace
ACO4 Control 5-12 4,95,0,False
ACO4 Control 5-12 9,67,5,False
ACO4 Control 5-12 10,70,0,False
ACO4 Control 5-12 27,85,0,False
ACO4 Control 5-12 27,86,0,False
ACO4 Control 5-12 27,87,0,False
ACO4 Control 5-12 45,15,0,False
ACO4 Control 5-12 46,6,0,False
ACO4 Control 5-12 46,67,0,False
ACO4 Lithium 5-12 3,85,0,False
ACO4 Lithium 5-12 3,86,1,False
ACO4 Lithium 5-12 3,87,0,False
ACO4 Lithium 5-12 5,94,0,False
ACO4 Lithium 5-12 5,95,0,False
ACO4 Lithium 5-12 5,96,0,False
ACO4 Lithium 5-12 5,97,0,False
ACO4 Lithium 5-12 5,98,0,False
ACO4 Lithium 5-12 27,86,2,False
ACO4 Lithium 5-12 29,96,1,False
ACO4 Lithium 5-12 32,58,0,False
ACO4 Lithium 5-12 34,50,0,False
ACO4 Lithium 5-12 34,60,0,False
ACO4 Lithium 5-12 35,96,0,False
ACO4 Lithium 5-12 39,41,0,False
ACO4 Lithium 5-12 39,51,0,False
ACO4 Lithium 5-12 39,79,0,False
ACO4 Lithium 5-12 42,58,4,False
ACO4 Lithium 5-12 45,86,9,False
ACO4 Lithium 5-12 45,87,15,False
ACO4 Lithium 5-12 47,6,0,False
ACO4 Lithium 5-12 47,25,0,False
ACO4 Lithium 5-12 50,74,0,False
AO4 Control 5-12 13,50,0,False
AO4 Control 5-12 25,49,7,False
AO4 Control 5-12 40,33,9,False
AO4 Control 5-12 40,62,10,False
CO4 Control 5-12 2,85,16,False
CO4 Control 5-12 5,24,15,False
CO4 Control 5-12 5,25,8,False
CO4 Control 5-12 5,97,0,False
CO4 Control 5-12 7,13,8,False
CO4 Control 5-12 7,16,4,False
CO4 Control 5-12 7,17,5,False
CO4 Control 5-12 7,18,4,False
CO4 Control 5-12 7,28,7,False
CO4 Control 5-12 7,49,5,False
CO4 Control 5-12 8,5,7,False
CO4 Control 5-12 8,83,5,False
CO4 Control 5-12 8,95,0,False
CO4 Control 5-12 9,14,5,False
CO4 Control 5-12 9,95,0,False
CO4 Control 5-12 9,96,1,False
CO4 Control 5-12 11,16,5,False
CO4 Control 5-12 11,17,6,False
CO4 Control 5-12 11,51,0,False
CO4 Control 5-12 11,62,0,False
CO4 Control 5-12 14,28,10,False
CO4 Control 5-12 14,37,5,False
CO4 Control 5-12 14,84,5,False
CO4 Control 5-12 15,15,7,False
CO4 Control 5-12 15,26,8,False
CO4 Control 5-12 15,27,6,False
CO4 Control 5-12 16,42,6,False
CO4 Control 5-12 16,63,5,False
CO4 Control 5-12 16,66,5,False
CO4 Control 5-12 16,75,7,False
CO4 Control 5-12 16,76,4,False
CO4 Control 5-12 17,6,12,False
CO4 Control 5-12 18,62,11,False
CO4 Control 5-12 18,73,9,False
CO4 Control 5-12 18,84,5,False
CO4 Control 5-12 18,85,6,False
CO4 Control 5-12 19,69,16,False
CO4 Control 5-12 23,16,1,False
CO4 Control 5-12 24,13,15,False
CO4 Control 5-12 24,17,6,False
CO4 Control 5-12 24,32,8,False
CO4 Control 5-12 24,41,20,False
CO4 Control 5-12 26,14,9,False
CO4 Control 5-12 26,15,7,False
CO4 Control 5-12 26,23,17,False
CO4 Control 5-12 26,33,10,False
CO4 Control 5-12 27,85,0,False
CO4 Control 5-12 27,87,0,False
CO4 Control 5-12 29,95,0,False
CO4 Control 5-12 30,25,5,False
CO4 Control 5-12 30,26,4,False
CO4 Control 5-12 30,33,7,False
CO4 Control 5-12 30,95,0,False
CO4 Control 5-12 30,96,1,False
CO4 Control 5-12 30,97,0,False
CO4 Control 5-12 34,96,0,False
CO4 Control 5-12 36,5,8,False
CO4 Control 5-12 36,6,11,False
CO4 Control 5-12 36,14,12,False
CO4 Control 5-12 36,15,8,False
CO4 Control 5-12 36,16,5,False
CO4 Control 5-12 36,17,9,False
CO4 Control 5-12 36,23,7,False
CO4 Control 5-12 39,18,4,False
CO4 Control 5-12 39,83,15,False
CO4 Control 5-12 39,84,5,False
CO4 Control 5-12 41,4,0,False
CO4 Control 5-12 41,5,0,False
CO4 Control 5-12 41,32,18,False
CO4 Control 5-12 41,64,7,False
CO4 Control 5-12 43,15,4,False
CO4 Control 5-12 43,39,7,False
CO4 Control 5-12 43,49,5,False
CO4 Control 5-12 45,16,7,False
CO4 Control 5-12 45,27,9,False
CO4 Control 5-12 45,28,9,False
CO4 Control 5-12 45,36,5,False
CO4 Control 5-12 47,25,0,False
CO4 Control 5-12 47,75,5,False
CO4 Control 5-12 48,5,0,False
CO4 Control 5-12 48,6,0,False
CO4 Control 5-12 48,77,4,False
CO4 Control 5-12 48,78,10,False
CO4 Control 5-12 48,87,13,False
CO4 Control 5-12 49,23,0,False
CO4 Control 5-12 49,72,7,False
CO4 Control 5-12 49,77,5,False
CO4 Control 5-12 49,83,16,False
CO4 Control 5-12 49,86,8,False
CO4 Control 5-12 50,53,4,False
CO4 Control 5-12 50,55,7,False
CO4 Control 5-12 50,56,5,False
CO4 Control 5-12 50,65,5,False
CO4 Control 5-12 50,85,6,False
CO4 Lithium 5-12 1,76,5,False
CO4 Lithium 5-12 1,77,7,False
CO4 Lithium 5-12 4,49,10,False
CO4 Lithium 5-12 10,96,9,False
CO4 Lithium 5-12 10,97,12,False
CO4 Lithium 5-12 14,52,7,False
CO4 Lithium 5-12 14,64,5,False
CO4 Lithium 5-12 14,85,8,False
CO4 Lithium 5-12 15,33,5,False
CO4 Lithium 5-12 16,29,25,False
CO4 Lithium 5-12 20,77,5,False
CO4 Lithium 5-12 22,17,9,False
CO4 Lithium 5-12 22,28,13,False
CO4 Lithium 5-12 24,51,12,False
CO4 Lithium 5-12 25,62,10,False
CO4 Lithium 5-12 25,73,4,False
CO4 Lithium 5-12 25,85,5,False
CO4 Lithium 5-12 26,16,8,False
CO4 Lithium 5-12 26,17,5,False
CO4 Lithium 5-12 27,85,8,False
CO4 Lithium 5-12 29,54,7,False
CO4 Lithium 5-12 31,32,14,False
CO4 Lithium 5-12 33,75,7,False
CO4 Lithium 5-12 33,84,11,False
CO4 Lithium 5-12 33,85,9,False
CO4 Lithium 5-12 33,86,11,False
CO4 Lithium 5-12 35,23,11,False
CO4 Lithium 5-12 36,73,23,False
CO4 Lithium 5-12 37,5,12,False
CO4 Lithium 5-12 38,28,14,False
CO4 Lithium 5-12 38,41,0,False
CO4 Lithium 5-12 40,45,6,False
CO4 Lithium 5-12 40,52,8,False
CO4 Lithium 5-12 46,21,6,False
CO4 Lithium 5-12 50,52,8,False
CO4 Lithium 5-12 50,62,9,False
NCO4 Control 5-12 1,39,6,False
NCO4 Control 5-12 1,42,0,False
NCO4 Control 5-12 1,50,4,False
NCO4 Control 5-12 1,52,3,False
NCO4 Control 5-12 1,57,2,False
NCO4 Control 5-12 1,60,5,False
NCO4 Control 5-12 1,68,4,False
NCO4 Control 5-12 1,69,6,False
NCO4 Control 5-12 1,76,4,False
NCO4 Control 5-12 1,77,6,False
NCO4 Control 5-12 1,78,6,False
NCO4 Control 5-12 1,85,0,False
NCO4 Control 5-12 1,86,4,False
NCO4 Control 5-12 1,87,8,False
NCO4 Control 5-12 2,39,6,False
NCO4 Control 5-12 2,43,4,False
NCO4 Control 5-12 2,44,5,False
NCO4 Control 5-12 2,53,6,False
NCO4 Control 5-12 2,65,6,False
NCO4 Control 5-12 2,66,4,False
NCO4 Control 5-12 2,73,0,False
NCO4 Control 5-12 2,74,6,False
NCO4 Control 5-12 2,75,5,False
NCO4 Control 5-12 2,86,2,False
NCO4 Control 5-12 4,53,7,False
NCO4 Control 5-12 4,59,6,False
NCO4 Control 5-12 4,73,9,False
NCO4 Control 5-12 4,74,12,False
NCO4 Control 5-12 4,85,7,False
NCO4 Control 5-12 4,88,4,False
NCO4 Control 5-12 5,43,5,False
NCO4 Control 5-12 5,63,7,False
NCO4 Control 5-12 5,65,5,False
NCO4 Control 5-12 5,67,6,False
NCO4 Control 5-12 5,68,4,False
NCO4 Control 5-12 5,75,4,False
NCO4 Control 5-12 5,76,6,False
NCO4 Control 5-12 5,78,6,False
NCO4 Control 5-12 5,87,7,False
NCO4 Control 5-12 5,95,1,False
NCO4 Control 5-12 5,96,1,False
NCO4 Control 5-12 5,97,0,False
NCO4 Control 5-12 6,14,4,False
NCO4 Control 5-12 6,65,4,False
NCO4 Control 5-12 6,68,4,False
NCO4 Control 5-12 6,75,10,False
NCO4 Control 5-12 6,86,5,False
NCO4 Control 5-12 7,14,10,False
NCO4 Control 5-12 7,35,6,False
NCO4 Control 5-12 7,77,9,False
NCO4 Control 5-12 7,85,2,False
NCO4 Control 5-12 7,86,1,False
NCO4 Control 5-12 8,75,4,False
NCO4 Control 5-12 8,86,5,False
NCO4 Control 5-12 9,36,9,False
NCO4 Control 5-12 9,55,4,False
NCO4 Control 5-12 9,60,3,False
NCO4 Control 5-12 9,62,0,False
NCO4 Control 5-12 9,70,1,False
NCO4 Control 5-12 9,72,0,False
NCO4 Control 5-12 9,87,6,False
NCO4 Control 5-12 9,96,0,False
NCO4 Control 5-12 10,51,0,False
NCO4 Control 5-12 10,60,0,False
NCO4 Control 5-12 10,70,1,False
NCO4 Control 5-12 10,86,5,False
NCO4 Control 5-12 10,96,2,False
NCO4 Control 5-12 11,27,4,False
NCO4 Control 5-12 11,34,7,False
NCO4 Control 5-12 11,49,4,False
NCO4 Control 5-12 11,57,4,False
NCO4 Control 5-12 11,67,11,False
NCO4 Control 5-12 11,68,9,False
NCO4 Control 5-12 15,32,0,False
NCO4 Control 5-12 15,41,0,False
NCO4 Control 5-12 15,50,0,False
NCO4 Control 5-12 15,51,0,False
NCO4 Control 5-12 15,54,3,False
NCO4 Control 5-12 15,59,8,False
NCO4 Control 5-12 15,60,0,False
NCO4 Control 5-12 15,61,0,False
NCO4 Control 5-12 15,68,9,False
NCO4 Control 5-12 15,69,10,False
NCO4 Control 5-12 15,70,0,False
NCO4 Control 5-12 15,72,0,False
NCO4 Control 5-12 15,87,11,False
NCO4 Control 5-12 17,4,7,False
NCO4 Control 5-12 17,5,0,False
NCO4 Control 5-12 17,6,1,False
NCO4 Control 5-12 17,7,0,False
NCO4 Control 5-12 17,13,8,False
NCO4 Control 5-12 17,18,0,False
NCO4 Control 5-12 17,22,3,False
NCO4 Control 5-12 17,29,0,False
NCO4 Control 5-12 17,31,0,False
NCO4 Control 5-12 17,39,1,False
NCO4 Control 5-12 17,41,1,False
NCO4 Control 5-12 17,67,4,False
NCO4 Control 5-12 17,69,10,False
NCO4 Control 5-12 17,75,5,False
NCO4 Control 5-12 17,76,5,False
NCO4 Control 5-12 17,85,7,False
NCO4 Control 5-12 19,50,0,False
NCO4 Control 5-12 19,57,8,False
NCO4 Control 5-12 19,60,0,False
NCO4 Control 5-12 19,66,5,False
NCO4 Control 5-12 19,75,12,False
NCO4 Control 5-12 19,77,7,False
NCO4 Control 5-12 19,85,9,False
NCO4 Control 5-12 20,52,7,False
NCO4 Control 5-12 20,60,0,False
NCO4 Control 5-12 20,63,12,False
NCO4 Control 5-12 20,73,9,False
NCO4 Control 5-12 21,26,6,False
NCO4 Control 5-12 22,3,0,False
NCO4 Control 5-12 22,4,0,False
NCO4 Control 5-12 22,5,0,False
NCO4 Control 5-12 22,17,6,False
NCO4 Control 5-12 22,25,4,False
NCO4 Control 5-12 22,26,5,False
NCO4 Control 5-12 22,28,4,False
NCO4 Control 5-12 23,5,0,False
NCO4 Control 5-12 23,64,4,False
NCO4 Control 5-12 24,16,0,False
NCO4 Control 5-12 25,54,5,False
NCO4 Control 5-12 29,96,7,False
NCO4 Control 5-12 29,97,8,False
NCO4 Control 5-12 32,52,7,False
NCO4 Control 5-12 32,62,6,False
NCO4 Control 5-12 32,63,7,False
NCO4 Control 5-12 32,74,9,False
NCO4 Control 5-12 32,86,4,False
NCO4 Control 5-12 34,37,6,False
NCO4 Control 5-12 34,43,5,False
NCO4 Control 5-12 34,44,4,False
NCO4 Control 5-12 34,47,9,False
NCO4 Control 5-12 34,53,5,False
NCO4 Control 5-12 34,66,5,False
NCO4 Control 5-12 35,24,3,False
NCO4 Control 5-12 35,51,0,False
NCO4 Control 5-12 35,66,4,False
NCO4 Control 5-12 35,67,4,False
NCO4 Control 5-12 35,70,0,False
NCO4 Control 5-12 35,77,3,False
NCO4 Control 5-12 35,95,4,False
NCO4 Control 5-12 35,96,2,False
NCO4 Control 5-12 38,64,6,False
NCO4 Control 5-12 38,75,4,False
NCO4 Control 5-12 38,76,8,False
NCO4 Control 5-12 38,77,4,False
NCO4 Control 5-12 38,85,7,False
NCO4 Control 5-12 38,86,8,False
NCO4 Control 5-12 38,87,9,False
NCO4 Control 5-12 39,69,8,False
NCO4 Control 5-12 39,79,5,False
NCO4 Control 5-12 39,88,4,False
NCO4 Control 5-12 40,96,5,False
NCO4 Control 5-12 41,4,4,False
NCO4 Control 5-12 41,5,8,False
NCO4 Control 5-12 41,35,7,False
NCO4 Control 5-12 41,63,8,False
NCO4 Control 5-12 41,73,4,False
NCO4 Control 5-12 42,5,0,False
NCO4 Control 5-12 42,18,5,False
NCO4 Control 5-12 42,77,5,False
NCO4 Control 5-12 42,86,7,False
NCO4 Control 5-12 43,14,4,False
NCO4 Control 5-12 43,15,6,False
NCO4 Control 5-12 43,16,5,False
NCO4 Control 5-12 43,25,6,False
NCO4 Control 5-12 43,26,5,False
NCO4 Control 5-12 43,37,5,False
NCO4 Control 5-12 46,4,1,False
NCO4 Control 5-12 46,6,0,False
NCO4 Control 5-12 46,12,5,False
NCO4 Control 5-12 46,21,12,False
NCO4 Control 5-12 46,22,5,False
NCO4 Control 5-12 46,31,18,False
NCO4 Control 5-12 49,74,5,False
NCO4 Control 5-12 49,84,14,False
NCO4 Control 5-12 49,85,6,False
NCO4 Lithium 5-12 2,64,7,False
NCO4 Lithium 5-12 10,33,18,False
NCO4 Lithium 5-12 12,18,11,False
NCO4 Lithium 5-12 12,28,11,False
NCO4 Lithium 5-12 12,39,8,False
NCO4 Lithium 5-12 13,43,8,False
NCO4 Lithium 5-12 13,75,6,False
NCO4 Lithium 5-12 14,17,11,False
NCO4 Lithium 5-12 14,28,7,False
NCO4 Lithium 5-12 14,68,8,False
NCO4 Lithium 5-12 16,49,14,False
NCO4 Lithium 5-12 19,72,9,False
NCO4 Lithium 5-12 20,74,5,False
NCO4 Lithium 5-12 20,79,13,False
NCO4 Lithium 5-12 27,5,12,False
NCO4 Lithium 5-12 27,14,7,False
NCO4 Lithium 5-12 27,23,5,False
NCO4 Lithium 5-12 29,88,10,False
NCO4 Lithium 5-12 29,96,6,False
NCO4 Lithium 5-12 30,24,5,False
NCO4 Lithium 5-12 30,27,7,False
NCO4 Lithium 5-12 30,28,9,False
NCO4 Lithium 5-12 31,19,7,False
NCO4 Lithium 5-12 31,59,11,False
NCO4 Lithium 5-12 36,37,6,False
NCO4 Lithium 5-12 36,47,6,False
NCO4 Lithium 5-12 36,75,6,False
NCO4 Lithium 5-12 39,84,7,False
NCO4 Lithium 5-12 40,49,7,False
NCO4 Lithium 5-12 40,68,8,False
NCO4 Lithium 5-12 40,69,9,False
NCO4 Lithium 5-12 44,72,7,False
NCO4 Lithium 5-12 44,84,11,False
NCO4 Lithium 5-12 44,85,7,False
NCO4 Lithium 5-12 44,86,9,False
NCO4 Lithium 5-12 44,96,8,False
NCO4 Lithium 5-12 45,58,6,False
NCO4 Lithium 5-12 47,22,5,False
NCO4 Lithium 5-12 47,26,7,False
NCO4 Lithium 5-12 47,34,8,False
NCO4 Lithium 5-12 47,35,6,False
NCO4 Lithium 5-12 47,54,4,False
NCO4 Lithium 5-12 47,58,8,False
NCO4 Lithium 5-12 48,77,6,False
NCO4 Lithium 5-12 49,14,6,False
NCO4 Lithium 5-12 49,32,5,False
NCO4 Lithium 5-12 49,62,5,False
NCO4 Lithium 5-12 49,84,6,False
NCO4 Lithium 5-12 50,41,6,False
NCO4 Lithium 5-12 50,42,4,False
NCO4 Lithium 5-12 50,72,7,False
